"","chr","start","end","meth.diff","strand","pvalue","qvalue","intron-start","intron-end","gene-start","gene-end","geneID","mRNA-start","mRNA-end","Genbank","Uniprot-ID","Uniprot-Accession","evalue","Product","GO-ID","GO-BP","GO-CC","GO-MF"
"108","NC_035781.1",28525220,28525220,50.6208425720621,"+",3.44255838976761e-18,2.40702064011697e-16,28524794,28526636,28506678,28526775,"111120922",28506678,28526775,"XM_022461972.1","Q6INU8","TT30A_XENLA",0,"tetratricopeptide repeat protein 30A-like",NA,NA,NA,NA
"109","NC_035781.1",28525220,28525220,50.6208425720621,"+",3.44255838976761e-18,2.40702064011697e-16,28524794,28526636,28506678,28526775,"111120922",28506678,28526775,"XM_022461973.1","Q6INU8","TT30A_XENLA",0,"tetratricopeptide repeat protein 30A-like",NA,NA,NA,NA
"110","NC_035781.1",28525220,28525220,50.6208425720621,"+",3.44255838976761e-18,2.40702064011697e-16,28524794,28526636,28506678,28526775,"111120922",28506678,28526775,"XM_022461971.1","Q6INU8","TT30A_XENLA",0,"tetratricopeptide repeat protein 30A-like",NA,NA,NA,NA
"111","NC_035781.1",29126964,29126964,51.989247311828,"+",1.16075549193079e-18,8.58066241996831e-17,29126706,29127029,29124655,29135389,"111120737",29124655,29135389,"XM_022461672.1","Q15262","PTPRK_HUMAN",3e-149,"receptor-type tyrosine-protein phosphatase kappa-like",NA,NA,NA,NA
"112","NC_035781.1",29385293,29385293,56.0455530307034,"+",4.06393263338884e-33,1.56467931280426e-30,29385273,29385359,29382512,29399362,"111118920",29382512,29399362,"XM_022458635.1","Q96SB8","SMC6_HUMAN",0,"structural maintenance of chromosomes protein 6-like",NA,NA,NA,NA
"113","NC_035781.1",29385293,29385293,56.0455530307034,"+",4.06393263338884e-33,1.56467931280426e-30,29385273,29385359,29382512,29399362,"111118920",29382512,29399362,"XM_022458636.1","Q96SB8","SMC6_HUMAN",0,"structural maintenance of chromosomes protein 6-like",NA,NA,NA,NA
"115","NC_035781.1",37444182,37444182,56.4884302689181,"+",4.17574291593903e-27,8.34781880822501e-25,37442451,37444492,37438984,37455180,"111120273",37438984,37455180,"XM_022460996.1","Q8IV36","HID1_HUMAN",0,"protein HID1-like",NA,NA,NA,NA
"119","NC_035781.1",43382431,43382431,52.2161172161172,"+",3.15330838737188e-11,8.21211047629859e-10,43382263,43382467,43360157,43391468,"111122172",43370655,43388695,"XM_022463783.1","Q8TDM6","DLG5_HUMAN",2e-67,"disks large homolog 5-like",NA,NA,NA,NA
"120","NC_035781.1",43382431,43382431,52.2161172161172,"+",3.15330838737188e-11,8.21211047629859e-10,43382263,43382467,43360157,43391468,"111122172",43360157,43391468,"XM_022463787.1","Q8TDM6","DLG5_HUMAN",2e-85,"disks large homolog 5-like",NA,NA,NA,NA
"121","NC_035781.1",43382431,43382431,52.2161172161172,"+",3.15330838737188e-11,8.21211047629859e-10,43382263,43382467,43360157,43391468,"111122172",43360157,43391468,"XM_022463787.1","Q8TDM6","DLG5_HUMAN",4e-95,"disks large homolog 5-like",NA,NA,NA,NA
"122","NC_035781.1",43382431,43382431,52.2161172161172,"+",3.15330838737188e-11,8.21211047629859e-10,43382263,43382467,43360157,43391468,"111122172",43373279,43388695,"XM_022463784.1","Q8TDM6","DLG5_HUMAN",1e-85,"disks large homolog 5-like",NA,NA,NA,NA
"123","NC_035781.1",43382431,43382431,52.2161172161172,"+",3.15330838737188e-11,8.21211047629859e-10,43382263,43382467,43360157,43391468,"111122172",43368126,43388695,"XM_022463785.1","Q8TDM6","DLG5_HUMAN",2e-85,"disks large homolog 5-like",NA,NA,NA,NA
"124","NC_035781.1",43382431,43382431,52.2161172161172,"+",3.15330838737188e-11,8.21211047629859e-10,43382263,43382467,43360157,43391468,"111122172",43370655,43388695,"XM_022463783.1","Q8TDM6","DLG5_HUMAN",1e-85,"disks large homolog 5-like",NA,NA,NA,NA
"125","NC_035781.1",43382431,43382431,52.2161172161172,"+",3.15330838737188e-11,8.21211047629859e-10,43382263,43382467,43360157,43391468,"111122172",43368126,43388695,"XM_022463785.1","Q8TDM6","DLG5_HUMAN",3e-67,"disks large homolog 5-like",NA,NA,NA,NA
"126","NC_035781.1",43382431,43382431,52.2161172161172,"+",3.15330838737188e-11,8.21211047629859e-10,43382263,43382467,43360157,43391468,"111122172",43373279,43388695,"XM_022463784.1","Q8TDM6","DLG5_HUMAN",3e-67,"disks large homolog 5-like",NA,NA,NA,NA
"128","NC_035781.1",47215728,47215728,52.0504385964912,"+",1.32841491130614e-22,1.60808720502215e-20,47214786,47215755,47208391,47245757,"111119490",47208391,47245756,"XM_022459692.1","Q9VJ79","PDE11_DROME",0,"dual 3'",NA,NA,NA,NA
"129","NC_035781.1",47215728,47215728,52.0504385964912,"+",1.32841491130614e-22,1.60808720502215e-20,47214786,47215755,47208391,47245757,"111119490",47208391,47240070,"XM_022459693.1","Q9VJ79","PDE11_DROME",6e-26,"dual 3'",NA,NA,NA,NA
"130","NC_035781.1",47215728,47215728,52.0504385964912,"+",1.32841491130614e-22,1.60808720502215e-20,47214786,47215755,47208391,47245757,"111119490",47208391,47245757,"XM_022459691.1","Q9VJ79","PDE11_DROME",0,"dual 3'",NA,NA,NA,NA
"131","NC_035781.1",47215728,47215728,52.0504385964912,"+",1.32841491130614e-22,1.60808720502215e-20,47214786,47215755,47208391,47245757,"111119490",47208391,47240036,"XM_022459694.1","Q9VJ79","PDE11_DROME",6e-26,"dual 3'",NA,NA,NA,NA
"132","NC_035781.1",47215728,47215728,52.0504385964912,"+",1.32841491130614e-22,1.60808720502215e-20,47214786,47215755,47208391,47245757,"111119490",47208391,47240036,"XM_022459694.1","Q9VJ79","PDE11_DROME",0,"dual 3'",NA,NA,NA,NA
"133","NC_035781.1",47215728,47215728,52.0504385964912,"+",1.32841491130614e-22,1.60808720502215e-20,47214786,47215755,47208391,47245757,"111119490",47208391,47240070,"XM_022459693.1","Q9VJ79","PDE11_DROME",0,"dual 3'",NA,NA,NA,NA
"134","NC_035781.1",47215728,47215728,52.0504385964912,"+",1.32841491130614e-22,1.60808720502215e-20,47214786,47215755,47208391,47245757,"111119490",47208391,47245757,"XM_022459691.1","Q9VJ79","PDE11_DROME",8e-17,"dual 3'",NA,NA,NA,NA
"135","NC_035781.1",47215728,47215728,52.0504385964912,"+",1.32841491130614e-22,1.60808720502215e-20,47214786,47215755,47208391,47245757,"111119490",47208391,47245756,"XM_022459692.1","Q9VJ79","PDE11_DROME",8e-17,"dual 3'",NA,NA,NA,NA
"136","NC_035781.1",49000883,49000883,61.1087795870405,"+",6.98932584109471e-33,2.6222101173906e-30,49000124,49007859,48983080,49017599,"111118823",48985314,49000124,"XM_022458464.1","A1L253","F149B_DANRE",1e-35,"protein FAM149B1-like","","","",""
"137","NC_035781.1",49000883,49000883,61.1087795870405,"+",6.98932584109471e-33,2.6222101173906e-30,49000124,49007859,48983080,49017599,"111118823",48983080,49000118,"XM_022458461.1","A1L253","F149B_DANRE",3e-35,"protein FAM149B1-like","","","",""
"138","NC_035781.1",49000883,49000883,61.1087795870405,"+",6.98932584109471e-33,2.6222101173906e-30,49000124,49007859,48983080,49017599,"111118823",48983080,49000124,"XM_022458462.1","A1L253","F149B_DANRE",4e-35,"protein FAM149B1-like","","","",""
"139","NC_035781.1",49000883,49000883,61.1087795870405,"+",6.98932584109471e-33,2.6222101173906e-30,49000124,49007859,48983080,49017599,"111118823",48983080,49000119,"XM_022458460.1","A1L253","F149B_DANRE",3e-35,"protein FAM149B1-like","","","",""
"140","NC_035781.1",49000883,49000883,61.1087795870405,"+",6.98932584109471e-33,2.6222101173906e-30,49000124,49007859,48983080,49017599,"111118823",48983080,49017599,"XM_022458470.1","A1L253","F149B_DANRE",6e-35,"protein FAM149B1-like","","","",""
"141","NC_035781.1",49000883,49000883,61.1087795870405,"+",6.98932584109471e-33,2.6222101173906e-30,49000124,49007859,48983080,49017599,"111118823",48985343,49000124,"XM_022458466.1","A1L253","F149B_DANRE",1e-35,"protein FAM149B1-like","","","",""
"142","NC_035781.1",49000883,49000883,61.1087795870405,"+",6.98932584109471e-33,2.6222101173906e-30,49000124,49007859,48983080,49017599,"111118823",48983080,49000117,"XM_022458467.1","A1L253","F149B_DANRE",8e-36,"protein FAM149B1-like","","","",""
"143","NC_035781.1",49000883,49000883,61.1087795870405,"+",6.98932584109471e-33,2.6222101173906e-30,49000124,49007859,48983080,49017599,"111118823",48983080,49008766,"XM_022458468.1","A1L253","F149B_DANRE",6e-35,"protein FAM149B1-like","","","",""
"144","NC_035781.1",49000883,49000883,61.1087795870405,"+",6.98932584109471e-33,2.6222101173906e-30,49000124,49007859,48983080,49017599,"111118823",48983080,49000123,"XM_022458469.1","A1L253","F149B_DANRE",4e-28,"protein FAM149B1-like","","","",""
"145","NC_035781.1",49000883,49000883,61.1087795870405,"+",6.98932584109471e-33,2.6222101173906e-30,49000124,49007859,48983080,49017599,"111118823",48983080,49000118,"XM_022458463.1","A1L253","F149B_DANRE",5e-36,"protein FAM149B1-like","","","",""
"146","NC_035781.1",53358700,53358700,56.9805289160128,"+",7.38592661008781e-36,3.64894616666055e-33,53358683,53358814,53327375,53366545,"111119711",53327378,53366545,"XM_022460141.1","Q9BTW9","TBCD_HUMAN",0,"tubulin-specific chaperone D-like",NA,NA,NA,NA
"156","NC_035781.1",56296257,56296257,63.1414267834793,"+",7.22237719824621e-25,1.12059316251408e-22,56294747,56296312,56292117,56296488,"111120110",56292117,56296488,"XM_022460791.1","Q1HPL8","NDUBA_BOMMO",3e-32,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10-like",NA,NA,NA,NA
"157","NC_035781.1",59274912,59274912,61.2453531598513,"+",5.33422665209681e-40,3.75943040303594e-37,59274798,59275118,59272570,59279290,"111119269",59272570,59279290,"XM_022459280.1","O42249","GBLP_ORENI",0,"guanine nucleotide-binding protein subunit beta-2-like 1","GO:0005840; GO:0030178; GO:0032880; GO:0051302; GO:2000114; GO:2000543","negative regulation of Wnt signaling pathway [GO:0030178]; positive regulation of gastrulation [GO:2000543]; regulation of cell division [GO:0051302]; regulation of establishment of cell polarity [GO:2000114]; regulation of protein localization [GO:0032880]","ribosome [GO:0005840]",""
"188","NC_035782.1",4729349,4729349,55.3534303534303,"+",3.37213228460818e-15,1.58469513310338e-13,4727997,4730316,4716673,4763219,"111123849",4726536,4749717,"XM_022466479.1","A4IF63","TRIM2_BOVIN",0,"tripartite motif-containing protein 2-like",NA,NA,NA,NA
"189","NC_035782.1",4729349,4729349,55.3534303534303,"+",3.37213228460818e-15,1.58469513310338e-13,4727997,4730316,4716673,4763219,"111123849",4754931,4763219,"XM_022466477.1","A4IF63","TRIM2_BOVIN",0,"tripartite motif-containing protein 2-like",NA,NA,NA,NA
"190","NC_035782.1",4729349,4729349,55.3534303534303,"+",3.37213228460818e-15,1.58469513310338e-13,4727997,4730316,4716673,4763219,"111123849",4730322,4749714,"XM_022466484.1","A4IF63","TRIM2_BOVIN",0,"tripartite motif-containing protein 2-like",NA,NA,NA,NA
"191","NC_035782.1",4729349,4729349,55.3534303534303,"+",3.37213228460818e-15,1.58469513310338e-13,4727997,4730316,4716673,4763219,"111123849",4730317,4763219,"XM_022466485.1","A4IF63","TRIM2_BOVIN",0,"tripartite motif-containing protein 2-like",NA,NA,NA,NA
"192","NC_035782.1",4729349,4729349,55.3534303534303,"+",3.37213228460818e-15,1.58469513310338e-13,4727997,4730316,4716673,4763219,"111123849",4727151,4749668,"XM_022466483.1","A4IF63","TRIM2_BOVIN",0,"tripartite motif-containing protein 2-like",NA,NA,NA,NA
"193","NC_035782.1",4729349,4729349,55.3534303534303,"+",3.37213228460818e-15,1.58469513310338e-13,4727997,4730316,4716673,4763219,"111123849",4716673,4749717,"XM_022466478.1","A4IF63","TRIM2_BOVIN",0,"tripartite motif-containing protein 2-like",NA,NA,NA,NA
"194","NC_035782.1",4729349,4729349,55.3534303534303,"+",3.37213228460818e-15,1.58469513310338e-13,4727997,4730316,4716673,4763219,"111123849",4735557,4763219,"XM_022466482.1","A4IF63","TRIM2_BOVIN",0,"tripartite motif-containing protein 2-like",NA,NA,NA,NA
"195","NC_035782.1",4729349,4729349,55.3534303534303,"+",3.37213228460818e-15,1.58469513310338e-13,4727997,4730316,4716673,4763219,"111123849",4742527,4749716,"XM_022466476.1","A4IF63","TRIM2_BOVIN",0,"tripartite motif-containing protein 2-like",NA,NA,NA,NA
"196","NC_035782.1",4729349,4729349,55.3534303534303,"+",3.37213228460818e-15,1.58469513310338e-13,4727997,4730316,4716673,4763219,"111123849",4735562,4749716,"XM_022466481.1","A4IF63","TRIM2_BOVIN",0,"tripartite motif-containing protein 2-like",NA,NA,NA,NA
"199","NC_035782.1",29760017,29760017,50.1901402391809,"+",6.78595007521677e-31,2.09274341911476e-28,29759253,29763758,29755965,29765987,"111122866",29755965,29765987,"XM_022464880.1","Q9CWR2","SMYD3_MOUSE",9e-73,"histone-lysine N-methyltransferase SMYD3-like",NA,NA,NA,NA
"203","NC_035782.1",45857196,45857196,52.1154543173391,"+",8.46392282619501e-52,1.55269671005455e-48,45855582,45860248,45855457,45861802,"111125368",45855457,45861802,"XM_022469115.1","A5WUL3","MED22_DANRE",3e-57,"mediator of RNA polymerase II transcription subunit 22-like",NA,NA,NA,NA
"204","NC_035782.1",46793651,46793651,58.9169000933707,"+",8.29506275346447e-11,2.01160435254894e-09,46792993,46796369,46766920,46818900,"111126576",46766920,46818900,"XM_022471316.1","Q14CM0","FRPD4_HUMAN",6e-130,"uncharacterized LOC111126576","GO:0005546; GO:0005856; GO:0014069; GO:0032991; GO:0043197; GO:0051835; GO:0098974; GO:0098978","positive regulation of synapse structural plasticity [GO:0051835]; postsynaptic actin cytoskeleton organization [GO:0098974]","cytoskeleton [GO:0005856]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; postsynaptic density [GO:0014069]; protein-containing complex [GO:0032991]","phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]"
"205","NC_035782.1",46793651,46793651,58.9169000933707,"+",8.29506275346447e-11,2.01160435254894e-09,46792993,46796369,46766920,46818900,"111126576",46766920,46788486,"XM_022471318.1","Q14CM0","FRPD4_HUMAN",4e-86,"uncharacterized LOC111126576","GO:0005546; GO:0005856; GO:0014069; GO:0032991; GO:0043197; GO:0051835; GO:0098974; GO:0098978","positive regulation of synapse structural plasticity [GO:0051835]; postsynaptic actin cytoskeleton organization [GO:0098974]","cytoskeleton [GO:0005856]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; postsynaptic density [GO:0014069]; protein-containing complex [GO:0032991]","phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]"
"206","NC_035782.1",46793651,46793651,58.9169000933707,"+",8.29506275346447e-11,2.01160435254894e-09,46792993,46796369,46766920,46818900,"111126576",46766920,46796503,"XM_022471317.1","Q14CM0","FRPD4_HUMAN",3e-130,"uncharacterized LOC111126576","GO:0005546; GO:0005856; GO:0014069; GO:0032991; GO:0043197; GO:0051835; GO:0098974; GO:0098978","positive regulation of synapse structural plasticity [GO:0051835]; postsynaptic actin cytoskeleton organization [GO:0098974]","cytoskeleton [GO:0005856]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; postsynaptic density [GO:0014069]; protein-containing complex [GO:0032991]","phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]"
"207","NC_035782.1",48662583,48662583,60.8333333333333,"+",2.23895348009552e-34,9.68106426996011e-32,48662564,48665979,48655388,48690131,"111126788",48655388,48690130,"XM_022471650.1","O08550","KMT2B_MOUSE",2e-13,"uncharacterized LOC111126788",NA,NA,NA,NA
"208","NC_035782.1",48662583,48662583,60.8333333333333,"+",2.23895348009552e-34,9.68106426996011e-32,48662564,48665979,48655388,48690131,"111126788",48655388,48690130,"XM_022471650.1","O08550","KMT2B_MOUSE",1e-78,"uncharacterized LOC111126788",NA,NA,NA,NA
"209","NC_035782.1",48662583,48662583,60.8333333333333,"+",2.23895348009552e-34,9.68106426996011e-32,48662564,48665979,48655388,48690131,"111126788",48655388,48690130,"XM_022471650.1","O08550","KMT2B_MOUSE",5e-82,"uncharacterized LOC111126788",NA,NA,NA,NA
"210","NC_035782.1",48662583,48662583,60.8333333333333,"+",2.23895348009552e-34,9.68106426996011e-32,48662564,48665979,48655388,48690131,"111126788",48665980,48690122,"XM_022471652.1","O08550","KMT2B_MOUSE",2e-81,"uncharacterized LOC111126788",NA,NA,NA,NA
"211","NC_035782.1",48662583,48662583,60.8333333333333,"+",2.23895348009552e-34,9.68106426996011e-32,48662564,48665979,48655388,48690131,"111126788",48655388,48690130,"XM_022471650.1","O08550","KMT2B_MOUSE",4e-113,"uncharacterized LOC111126788",NA,NA,NA,NA
"212","NC_035782.1",48662583,48662583,60.8333333333333,"+",2.23895348009552e-34,9.68106426996011e-32,48662564,48665979,48655388,48690131,"111126788",48665980,48690122,"XM_022471652.1","O08550","KMT2B_MOUSE",3e-78,"uncharacterized LOC111126788",NA,NA,NA,NA
"214","NC_035782.1",48662583,48662583,60.8333333333333,"+",2.23895348009552e-34,9.68106426996011e-32,48662564,48665979,48655388,48690131,"111126788",48665980,48690122,"XM_022471652.1","O08550","KMT2B_MOUSE",3e-113,"uncharacterized LOC111126788",NA,NA,NA,NA
"215","NC_035782.1",48662583,48662583,60.8333333333333,"+",2.23895348009552e-34,9.68106426996011e-32,48662564,48665979,48655388,48690131,"111126788",48661269,48690122,"XM_022471651.1","O08550","KMT2B_MOUSE",3e-113,"uncharacterized LOC111126788",NA,NA,NA,NA
"216","NC_035782.1",48662583,48662583,60.8333333333333,"+",2.23895348009552e-34,9.68106426996011e-32,48662564,48665979,48655388,48690131,"111126788",48661269,48690122,"XM_022471651.1","O08550","KMT2B_MOUSE",3e-78,"uncharacterized LOC111126788",NA,NA,NA,NA
"217","NC_035782.1",48662583,48662583,60.8333333333333,"+",2.23895348009552e-34,9.68106426996011e-32,48662564,48665979,48655388,48690131,"111126788",48661269,48690122,"XM_022471651.1","O08550","KMT2B_MOUSE",2e-81,"uncharacterized LOC111126788",NA,NA,NA,NA
"218","NC_035782.1",48662583,48662583,60.8333333333333,"+",2.23895348009552e-34,9.68106426996011e-32,48662564,48665979,48655388,48690131,"111126788",48655388,48690131,"XM_022471648.1","O08550","KMT2B_MOUSE",3e-82,"uncharacterized LOC111126788",NA,NA,NA,NA
"220","NC_035782.1",48662583,48662583,60.8333333333333,"+",2.23895348009552e-34,9.68106426996011e-32,48662564,48665979,48655388,48690131,"111126788",48655388,48690131,"XM_022471648.1","O08550","KMT2B_MOUSE",1e-13,"uncharacterized LOC111126788",NA,NA,NA,NA
"221","NC_035782.1",48662583,48662583,60.8333333333333,"+",2.23895348009552e-34,9.68106426996011e-32,48662564,48665979,48655388,48690131,"111126788",48655388,48690131,"XM_022471648.1","O08550","KMT2B_MOUSE",3e-79,"uncharacterized LOC111126788",NA,NA,NA,NA
"222","NC_035782.1",48662583,48662583,60.8333333333333,"+",2.23895348009552e-34,9.68106426996011e-32,48662564,48665979,48655388,48690131,"111126788",48655388,48690131,"XM_022471648.1","O08550","KMT2B_MOUSE",4e-113,"uncharacterized LOC111126788",NA,NA,NA,NA
"229","NC_035782.1",53693368,53693368,61.3897051853256,"+",1.35843971280143e-30,4.02037571543722e-28,53692394,53693699,53690611,53716544,"111123982",53690691,53716544,"XM_022466774.1","O15439","MRP4_HUMAN",0,"multidrug resistance-associated protein 4-like","GO:0002576; GO:0005524; GO:0005886; GO:0010243; GO:0014070; GO:0015662; GO:0016020; GO:0016021; GO:0016323; GO:0016404; GO:0031088; GO:0032310; GO:0042493; GO:0042626; GO:0048661; GO:0055085; GO:0060271","cilium assembly [GO:0060271]; platelet degranulation [GO:0002576]; positive regulation of smooth muscle cell proliferation [GO:0048661]; prostaglandin secretion [GO:0032310]; response to drug [GO:0042493]; response to organic cyclic compound [GO:0014070]; response to organonitrogen compound [GO:0010243]; transmembrane transport [GO:0055085]","basolateral plasma membrane [GO:0016323]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; platelet dense granule membrane [GO:0031088]","15-hydroxyprostaglandin dehydrogenase (NAD+) activity [GO:0016404]; ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism [GO:0015662]; ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; ATP binding [GO:0005524]"
"230","NC_035782.1",53693368,53693368,61.3897051853256,"+",1.35843971280143e-30,4.02037571543722e-28,53692394,53693699,53690611,53716544,"111123982",53690611,53710299,"XM_022466775.1","O15439","MRP4_HUMAN",0,"multidrug resistance-associated protein 4-like","GO:0002576; GO:0005524; GO:0005886; GO:0010243; GO:0014070; GO:0015662; GO:0016020; GO:0016021; GO:0016323; GO:0016404; GO:0031088; GO:0032310; GO:0042493; GO:0042626; GO:0048661; GO:0055085; GO:0060271","cilium assembly [GO:0060271]; platelet degranulation [GO:0002576]; positive regulation of smooth muscle cell proliferation [GO:0048661]; prostaglandin secretion [GO:0032310]; response to drug [GO:0042493]; response to organic cyclic compound [GO:0014070]; response to organonitrogen compound [GO:0010243]; transmembrane transport [GO:0055085]","basolateral plasma membrane [GO:0016323]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; platelet dense granule membrane [GO:0031088]","15-hydroxyprostaglandin dehydrogenase (NAD+) activity [GO:0016404]; ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism [GO:0015662]; ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; ATP binding [GO:0005524]"
"231","NC_035782.1",61203971,61203971,51.4949845679012,"+",2.55039283458132e-14,1.05785293227173e-12,61203444,61205607,61195838,61209507,"111124916",61195838,61209507,"XM_022468219.1","Q8NHP6","MSPD2_HUMAN",8e-86,"motile sperm domain-containing protein 2-like",NA,NA,NA,NA
"232","NC_035782.1",63438237,63438237,68.0871828236825,"+",4.00900406529382e-36,2.01249103430538e-33,63437799,63438946,63429546,63446314,"111125883",63429546,63446314,"XM_022470096.1","Q9JLG8","CAN15_MOUSE",4e-72,"calpain-15-like","GO:0004198; GO:0005737; GO:0006508; GO:0046872","proteolysis [GO:0006508]","cytoplasm [GO:0005737]","calcium-dependent cysteine-type endopeptidase activity [GO:0004198]; metal ion binding [GO:0046872]"
"233","NC_035783.1",4336101,4336101,63.7449079926956,"+",2.09542331969692e-26,3.8753744304438e-24,4334085,4337128,4306273,4347457,"111130622",4306273,4347457,"XM_022477788.1","Q8CG46","SMC5_MOUSE",0,"structural maintenance of chromosomes protein 5-like",NA,NA,NA,NA
"237","NC_035783.1",17850325,17850325,54.9563172043011,"+",5.05884087487448e-15,2.31498946047055e-13,17842000,17852474,17801179,17855480,"111130545",17809746,17855480,"XM_022477696.1","Q60954","MEIS1_MOUSE",7e-126,"homeobox protein Meis1-like",NA,NA,NA,NA
"238","NC_035783.1",17850325,17850325,54.9563172043011,"+",5.05884087487448e-15,2.31498946047055e-13,17842000,17852474,17801179,17855480,"111130545",17801179,17855480,"XM_022477695.1","Q60954","MEIS1_MOUSE",1e-125,"homeobox protein Meis1-like",NA,NA,NA,NA
"239","NC_035783.1",17850325,17850325,54.9563172043011,"+",5.05884087487448e-15,2.31498946047055e-13,17842000,17852474,17801179,17855480,"111130545",17805390,17855480,"XM_022477697.1","Q60954","MEIS1_MOUSE",2e-125,"homeobox protein Meis1-like",NA,NA,NA,NA
"240","NC_035783.1",19545474,19545474,50.4852624011503,"+",8.18739320852375e-17,4.75593955676891e-15,19545462,19545678,19541126,19546290,"111129934",19541126,19546290,"XM_022476486.1","Q5ZME2","MDHC_CHICK",4e-158,"malate dehydrogenase",NA,NA,NA,NA
"241","NC_035783.1",20710046,20710046,61.1653272101033,"+",7.42699759179713e-21,7.19597914557114e-19,20709028,20712131,20697421,20716772,"111129912",20697421,20715525,"XM_022476450.1","P08478","AMDA_XENLA",2e-69,"peptidyl-glycine alpha-amidating monooxygenase-like","GO:0004504; GO:0004598; GO:0005507; GO:0006518; GO:0016021; GO:0030658","peptide metabolic process [GO:0006518]","integral component of membrane [GO:0016021]; transport vesicle membrane [GO:0030658]","copper ion binding [GO:0005507]; peptidylamidoglycolate lyase activity [GO:0004598]; peptidylglycine monooxygenase activity [GO:0004504]"
"242","NC_035783.1",20710046,20710046,61.1653272101033,"+",7.42699759179713e-21,7.19597914557114e-19,20709028,20712131,20697421,20716772,"111129912",20697421,20715530,"XM_022476451.1","P08478","AMDA_XENLA",2e-152,"peptidyl-glycine alpha-amidating monooxygenase-like","GO:0004504; GO:0004598; GO:0005507; GO:0006518; GO:0016021; GO:0030658","peptide metabolic process [GO:0006518]","integral component of membrane [GO:0016021]; transport vesicle membrane [GO:0030658]","copper ion binding [GO:0005507]; peptidylamidoglycolate lyase activity [GO:0004598]; peptidylglycine monooxygenase activity [GO:0004504]"
"243","NC_035783.1",20710046,20710046,61.1653272101033,"+",7.42699759179713e-21,7.19597914557114e-19,20709028,20712131,20697421,20716772,"111129912",20697421,20716772,"XM_022476449.1","P14925","AMD_RAT",3e-73,"peptidyl-glycine alpha-amidating monooxygenase-like","GO:0001519; GO:0001666; GO:0001676; GO:0004504; GO:0004598; GO:0005507; GO:0005509; GO:0005576; GO:0005615; GO:0005802; GO:0005886; GO:0006357; GO:0006518; GO:0007417; GO:0007507; GO:0007595; GO:0008270; GO:0009268; GO:0009404; GO:0009986; GO:0016021; GO:0018032; GO:0019538; GO:0019901; GO:0022602; GO:0030141; GO:0030658; GO:0030667; GO:0031418; GO:0032355; GO:0032956; GO:0042476; GO:0042493; GO:0043005; GO:0043025; GO:0043204; GO:0046688; GO:0048471; GO:0050708; GO:0051260; GO:0051384; GO:0060135; GO:0060173; GO:0062112","central nervous system development [GO:0007417]; fatty acid primary amide biosynthetic process [GO:0062112]; heart development [GO:0007507]; lactation [GO:0007595]; limb development [GO:0060173]; long-chain fatty acid metabolic process [GO:0001676]; maternal process involved in female pregnancy [GO:0060135]; odontogenesis [GO:0042476]; ovulation cycle process [GO:0022602]; peptide amidation [GO:0001519]; peptide metabolic process [GO:0006518]; protein amidation [GO:0018032]; protein homooligomerization [GO:0051260]; protein metabolic process [GO:0019538]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of protein secretion [GO:0050708]; regulation of transcription by RNA polymerase II [GO:0006357]; response to copper ion [GO:0046688]; response to drug [GO:0042493]; response to estradiol [GO:0032355]; response to glucocorticoid [GO:0051384]; response to hypoxia [GO:0001666]; response to pH [GO:0009268]; toxin metabolic process [GO:0009404]","cell surface [GO:0009986]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; secretory granule [GO:0030141]; secretory granule membrane [GO:0030667]; trans-Golgi network [GO:0005802]; transport vesicle membrane [GO:0030658]","calcium ion binding [GO:0005509]; copper ion binding [GO:0005507]; L-ascorbic acid binding [GO:0031418]; peptidylamidoglycolate lyase activity [GO:0004598]; peptidylglycine monooxygenase activity [GO:0004504]; protein kinase binding [GO:0019901]; zinc ion binding [GO:0008270]"
