"","Genbank","V2","Uniprot","V4","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","mRNAchromosome","Gnomon","mRNA","mRNAstart","mRNAend","V6","mRNAstrand","V8","V9","DMRchromosome","DMRstart","DMRend","DMR","Percentdiff","ID","Parent","Dbxref=GeneID","V18","V19","V20","Name","V22","V23","V24","V25","V26","V27","V28","V29","NA"
"53","XM_022445909.1","sp","O00338","ST1C2_HUMAN",34.49,287,164,11,206,1036,23,295,1e-38,145,"NC_035780.1","Gnomon","mRNA",227734,231964,".","-",".","ID=rna15;Parent=gene14;Dbxref=GeneID:111109550,Genbank:XM_022445909.1;Name=XM_022445909.1;gbkey=mRNA;gene=LOC111109550;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 12 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns;product=sulfotransferase family cytosolic 1B member 1-like%2C transcript variant X3;transcript_id=XM_022445909.1","NC_035780.1",571100,571200,"DMR",58,339137,"ID=rna15","Parent=gene14","Dbxref=GeneID",111109550,"Genbank","Name=XM_022445909.1","gbkey=mRNA","gene=LOC111109550","model_evidence=Supporting evidence includes similarity to"," 1 EST%2C 12 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns","product=sulfotransferase family cytosolic 1B member 1-like%2C transcript variant X3","transcript_id=XM_022445909.1","","",""
"54","XM_022445962.1","sp","P34109","MYOD_DICDI",33.06,121,79,1,147,509,176,294,2e-19,70.1,"NC_035780.1","Gnomon","mRNA",2063986,2067024,".","+",".","ID=rna186;Parent=gene109;Dbxref=GeneID:111109736,Genbank:XM_022445962.1;Name=XM_022445962.1;Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS: inserted 1 base in 1 codon;exception=unclassified transcription discrepancy;gbkey=mRNA;gene=LOC111109736;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 88%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 6 samples with support for all annotated introns;product=myosin ID heavy chain-like;transcript_id=XM_022445962.1","NC_035780.1",1933500,1933600,"DMR",53,-130386,"ID=rna186","Parent=gene109","Dbxref=GeneID",111109736,"Genbank","Name=XM_022445962.1","Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS"," inserted 1 base in 1 codon","exception=unclassified transcription discrepancy","gbkey=mRNA","gene=LOC111109736","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 88%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 6 samples with support for all annotated introns","product=myosin ID heavy chain-like","transcript_id=XM_022445962.1"
"55","XM_022445962.1","sp","P34109","MYOD_DICDI",68.97,29,9,0,38,124,139,167,2e-19,45.8,"NC_035780.1","Gnomon","mRNA",2063986,2067024,".","+",".","ID=rna186;Parent=gene109;Dbxref=GeneID:111109736,Genbank:XM_022445962.1;Name=XM_022445962.1;Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS: inserted 1 base in 1 codon;exception=unclassified transcription discrepancy;gbkey=mRNA;gene=LOC111109736;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 88%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 6 samples with support for all annotated introns;product=myosin ID heavy chain-like;transcript_id=XM_022445962.1","NC_035780.1",1933500,1933600,"DMR",53,-130386,"ID=rna186","Parent=gene109","Dbxref=GeneID",111109736,"Genbank","Name=XM_022445962.1","Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS"," inserted 1 base in 1 codon","exception=unclassified transcription discrepancy","gbkey=mRNA","gene=LOC111109736","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 88%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 6 samples with support for all annotated introns","product=myosin ID heavy chain-like","transcript_id=XM_022445962.1"
"56","XM_022446018.1","sp","Q9QWG7","ST1B1_MOUSE",34.22,263,151,7,318,1073,40,291,1e-33,133,"NC_035780.1","Gnomon","mRNA",232863,240144,".","-",".","ID=rna18;Parent=gene15;Dbxref=GeneID:111109753,Genbank:XM_022446018.1;Name=XM_022446018.1;gbkey=mRNA;gene=LOC111109753;model_evidence=Supporting evidence includes similarity to: 10 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns;product=sulfotransferase family cytosolic 1B member 1-like;transcript_id=XM_022446018.1","NC_035780.1",571100,571200,"DMR",58,330957,"ID=rna18","Parent=gene15","Dbxref=GeneID",111109753,"Genbank","Name=XM_022446018.1","gbkey=mRNA","gene=LOC111109753","model_evidence=Supporting evidence includes similarity to"," 10 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=sulfotransferase family cytosolic 1B member 1-like","transcript_id=XM_022446018.1","","",""
"57","XM_022446052.1","sp","Q03181","PPARD_HUMAN",35.09,379,203,12,464,1504,70,437,3e-54,199,"NC_035780.1","Gnomon","mRNA",444907,453310,".","-",".","ID=rna39;Parent=gene29;Dbxref=GeneID:111109809,Genbank:XM_022446052.1;Name=XM_022446052.1;gbkey=mRNA;gene=LOC111109809;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 19 samples with support for all annotated introns;product=peroxisome proliferator-activated receptor delta-like;transcript_id=XM_022446052.1","NC_035780.1",571100,571200,"DMR",58,117791,"ID=rna39","Parent=gene29","Dbxref=GeneID",111109809,"Genbank","Name=XM_022446052.1","gbkey=mRNA","gene=LOC111109809","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 19 samples with support for all annotated introns","product=peroxisome proliferator-activated receptor delta-like","transcript_id=XM_022446052.1","","",""
"58","XM_022447205.1","sp","Q9VZW5","FMAR_DROME",28.44,320,194,9,736,1656,118,415,9e-25,112,"NC_035780.1","Gnomon","mRNA",970363,981628,".","-",".","ID=rna116;Parent=gene65;Dbxref=GeneID:111110627,Genbank:XM_022447205.1;Name=XM_022447205.1;gbkey=mRNA;gene=LOC111110627;model_evidence=Supporting evidence includes similarity to: 6 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns;product=FMRFamide receptor-like;transcript_id=XM_022447205.1","NC_035780.1",573700,573800,"DMR",52,-396563,"ID=rna116","Parent=gene65","Dbxref=GeneID",111110627,"Genbank","Name=XM_022447205.1","gbkey=mRNA","gene=LOC111110627","model_evidence=Supporting evidence includes similarity to"," 6 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns","product=FMRFamide receptor-like","transcript_id=XM_022447205.1","","",""
"59","XM_022447324.1","sp","Q8SWR3","SPR_DROME",23.97,363,236,10,241,1233,53,407,5e-13,74.7,"NC_035780.1","Gnomon","mRNA",43111,66897,".","-",".","ID=rna2;Parent=gene2;Dbxref=GeneID:111110729,Genbank:XM_022447324.1;Name=XM_022447324.1;gbkey=mRNA;gene=LOC111110729;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=FMRFamide receptor-like%2C transcript variant X1;transcript_id=XM_022447324.1","NC_035780.1",571100,571200,"DMR",58,504204,"ID=rna2","Parent=gene2","Dbxref=GeneID",111110729,"Genbank","Name=XM_022447324.1","gbkey=mRNA","gene=LOC111110729","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments","product=FMRFamide receptor-like%2C transcript variant X1","transcript_id=XM_022447324.1","","",""
"60","XM_022447333.1","sp","Q8SWR3","SPR_DROME",23.42,363,238,10,594,1586,53,407,2e-12,73.2,"NC_035780.1","Gnomon","mRNA",43111,46506,".","-",".","ID=rna3;Parent=gene2;Dbxref=GeneID:111110729,Genbank:XM_022447333.1;Name=XM_022447333.1;gbkey=mRNA;gene=LOC111110729;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 14 samples with support for all annotated introns;product=FMRFamide receptor-like%2C transcript variant X2;transcript_id=XM_022447333.1","NC_035780.1",571100,571200,"DMR",58,524595,"ID=rna3","Parent=gene2","Dbxref=GeneID",111110729,"Genbank","Name=XM_022447333.1","gbkey=mRNA","gene=LOC111110729","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 14 samples with support for all annotated introns","product=FMRFamide receptor-like%2C transcript variant X2","transcript_id=XM_022447333.1","","",""
"61","XM_022448595.1","sp","Q9LU92","TGT4_ARATH",30.43,69,48,0,434,640,55,123,0.011,41.2,"NC_035780.1","Gnomon","mRNA",1543472,1545772,".","+",".","ID=rna139;Parent=gene80;Dbxref=GeneID:111111547,Genbank:XM_022448595.1;Name=XM_022448595.1;gbkey=mRNA;gene=LOC111111547;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns;product=uncharacterized LOC111111547;transcript_id=XM_022448595.1","NC_035780.1",1885000,1885100,"DMR",51,339229,"ID=rna139","Parent=gene80","Dbxref=GeneID",111111547,"Genbank","Name=XM_022448595.1","gbkey=mRNA","gene=LOC111111547","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns","product=uncharacterized LOC111111547","transcript_id=XM_022448595.1","","",""
"62","XM_022449924.1","sp","P39021","MEOX2_XENLA",54.2,131,52,2,522,902,115,241,1e-33,130,"NC_035780.1","Gnomon","mRNA",85606,95254,".","-",".","ID=rna4;Parent=gene3;Dbxref=GeneID:111112434,Genbank:XM_022449924.1;Name=XM_022449924.1;gbkey=mRNA;gene=LOC111112434;model_evidence=Supporting evidence includes similarity to: 7 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns;product=homeobox protein Hox-B7-like;transcript_id=XM_022449924.1","NC_035780.1",571100,571200,"DMR",58,475847,"ID=rna4","Parent=gene3","Dbxref=GeneID",111112434,"Genbank","Name=XM_022449924.1","gbkey=mRNA","gene=LOC111112434","model_evidence=Supporting evidence includes similarity to"," 7 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns","product=homeobox protein Hox-B7-like","transcript_id=XM_022449924.1","","",""
"63","XM_022450550.1","sp","P17972","KCNAW_DROME",47.15,439,218,5,995,2296,8,437,6e-125,395,"NC_035780.1","Gnomon","mRNA",502147,508829,".","+",".","ID=rna42;Parent=gene31;Dbxref=GeneID:111112773,Genbank:XM_022450550.1;Name=XM_022450550.1;gbkey=mRNA;gene=LOC111112773;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=potassium voltage-gated channel protein Shaw-like%2C transcript variant X1;transcript_id=XM_022450550.1","NC_035780.1",571100,571200,"DMR",58,62272,"ID=rna42","Parent=gene31","Dbxref=GeneID",111112773,"Genbank","Name=XM_022450550.1","gbkey=mRNA","gene=LOC111112773","model_evidence=Supporting evidence includes similarity to"," 1 EST%2C 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns","product=potassium voltage-gated channel protein Shaw-like%2C transcript variant X1","transcript_id=XM_022450550.1","","",""
"64","XM_022450560.1","sp","P17972","KCNAW_DROME",47.15,439,218,5,995,2296,8,437,6e-125,395,"NC_035780.1","Gnomon","mRNA",502147,508829,".","+",".","ID=rna43;Parent=gene31;Dbxref=GeneID:111112773,Genbank:XM_022450560.1;Name=XM_022450560.1;gbkey=mRNA;gene=LOC111112773;model_evidence=Supporting evidence includes similarity to: 1 EST%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 20 samples with support for all annotated introns;product=potassium voltage-gated channel protein Shaw-like%2C transcript variant X2;transcript_id=XM_022450560.1","NC_035780.1",571100,571200,"DMR",58,62272,"ID=rna43","Parent=gene31","Dbxref=GeneID",111112773,"Genbank","Name=XM_022450560.1","gbkey=mRNA","gene=LOC111112773","model_evidence=Supporting evidence includes similarity to"," 1 EST%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 20 samples with support for all annotated introns","product=potassium voltage-gated channel protein Shaw-like%2C transcript variant X2","transcript_id=XM_022450560.1","","",""
"65","XM_022451068.1","sp","P35916","VGFR3_HUMAN",25.29,87,56,2,221,469,382,463,1.2,35,"NC_035780.1","Gnomon","mRNA",904241,905671,".","-",".","ID=rna106;Parent=gene58;Dbxref=GeneID:111113087,Genbank:XM_022451068.1;Name=XM_022451068.1;gbkey=mRNA;gene=LOC111113087;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 6 samples with support for all annotated introns;product=keratin%2C type I cytoskeletal 10-like;transcript_id=XM_022451068.1","NC_035780.1",573700,573800,"DMR",52,-330441,"ID=rna106","Parent=gene58","Dbxref=GeneID",111113087,"Genbank","Name=XM_022451068.1","gbkey=mRNA","gene=LOC111113087","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 6 samples with support for all annotated introns","product=keratin%2C type I cytoskeletal 10-like","transcript_id=XM_022451068.1","","",""
"66","XM_022451548.1","sp","Q3K9R2","SELU_PSEPF",32.35,68,37,3,811,1014,79,137,6.3,33.5,"NC_035780.1","Gnomon","mRNA",1921267,1926830,".","+",".","ID=rna159;Parent=gene97;Dbxref=GeneID:111113346,Genbank:XM_022451548.1;Name=XM_022451548.1;gbkey=mRNA;gene=LOC111113346;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 4 samples with support for all annotated introns;product=uncharacterized LOC111113346%2C transcript variant X1;transcript_id=XM_022451548.1","NC_035780.1",1933500,1933600,"DMR",53,6671,"ID=rna159","Parent=gene97","Dbxref=GeneID",111113346,"Genbank","Name=XM_022451548.1","gbkey=mRNA","gene=LOC111113346","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 4 samples with support for all annotated introns","product=uncharacterized LOC111113346%2C transcript variant X1","transcript_id=XM_022451548.1","","",""
"67","XM_022451556.1","sp","A9BHX2","METK_PETMO",31.58,95,58,3,68,343,161,251,1.7,35.4,"NC_035780.1","Gnomon","mRNA",1921037,1926830,".","+",".","ID=rna158;Parent=gene97;Dbxref=GeneID:111113346,Genbank:XM_022451556.1;Name=XM_022451556.1;gbkey=mRNA;gene=LOC111113346;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 8 samples with support for all annotated introns;product=uncharacterized LOC111113346%2C transcript variant X2;transcript_id=XM_022451556.1","NC_035780.1",1933500,1933600,"DMR",53,6671,"ID=rna158","Parent=gene97","Dbxref=GeneID",111113346,"Genbank","Name=XM_022451556.1","gbkey=mRNA","gene=LOC111113346","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 8 samples with support for all annotated introns","product=uncharacterized LOC111113346%2C transcript variant X2","transcript_id=XM_022451556.1","","",""
"68","XM_022451565.1","sp","A1S8L2","PROB_SHEAM",40.98,61,29,4,287,117,101,158,3.1,34.3,"NC_035780.1","Gnomon","mRNA",1919019,1926830,".","+",".","ID=rna157;Parent=gene97;Dbxref=GeneID:111113346,Genbank:XM_022451565.1;Name=XM_022451565.1;gbkey=mRNA;gene=LOC111113346;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=uncharacterized LOC111113346%2C transcript variant X3;transcript_id=XM_022451565.1","NC_035780.1",1933500,1933600,"DMR",53,6671,"ID=rna157","Parent=gene97","Dbxref=GeneID",111113346,"Genbank","Name=XM_022451565.1","gbkey=mRNA","gene=LOC111113346","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns","product=uncharacterized LOC111113346%2C transcript variant X3","transcript_id=XM_022451565.1","","",""
"69","XM_022451800.1","sp","Q5MNV8","FBX47_HUMAN",34.98,446,273,8,192,1502,15,452,8e-83,273,"NC_035780.1","Gnomon","mRNA",341638,349379,".","-",".","ID=rna30;Parent=gene22;Dbxref=GeneID:111113503,Genbank:XM_022451800.1;Name=XM_022451800.1;gbkey=mRNA;gene=LOC111113503;model_evidence=Supporting evidence includes similarity to: 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 2 samples with support for all annotated introns;product=F-box only protein 47-like;transcript_id=XM_022451800.1","NC_035780.1",571100,571200,"DMR",58,221722,"ID=rna30","Parent=gene22","Dbxref=GeneID",111113503,"Genbank","Name=XM_022451800.1","gbkey=mRNA","gene=LOC111113503","model_evidence=Supporting evidence includes similarity to"," 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 2 samples with support for all annotated introns","product=F-box only protein 47-like","transcript_id=XM_022451800.1","","",""
"70","XM_022452155.1","sp","Q95JD5","ST1B1_CANLF",34.01,297,157,8,236,1069,19,295,1e-37,145,"NC_035780.1","Gnomon","mRNA",219451,225076,".","-",".","ID=rna14;Parent=gene13;Dbxref=GeneID:111113860,Genbank:XM_022452155.1;Name=XM_022452155.1;gbkey=mRNA;gene=LOC111113860;model_evidence=Supporting evidence includes similarity to: 10 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 24 samples with support for all annotated introns;product=sulfotransferase family cytosolic 1B member 1-like;transcript_id=XM_022452155.1","NC_035780.1",571100,571200,"DMR",58,346025,"ID=rna14","Parent=gene13","Dbxref=GeneID",111113860,"Genbank","Name=XM_022452155.1","gbkey=mRNA","gene=LOC111113860","model_evidence=Supporting evidence includes similarity to"," 10 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 24 samples with support for all annotated introns","product=sulfotransferase family cytosolic 1B member 1-like","transcript_id=XM_022452155.1","","",""
"71","XM_022452253.1","sp","Q1KKS8","HXD4A_TAKRU",46.12,232,111,7,66,755,1,220,5e-49,175,"NC_035780.1","Gnomon","mRNA",1674069,1678920,".","+",".","ID=rna144;Parent=gene85;Dbxref=GeneID:111113958,Genbank:XM_022452253.1;Name=XM_022452253.1;gbkey=mRNA;gene=LOC111113958;model_evidence=Supporting evidence includes similarity to: 31 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 24 samples with support for all annotated introns;product=homeobox protein Hox-A5-like;transcript_id=XM_022452253.1","NC_035780.1",1885000,1885100,"DMR",51,206081,"ID=rna144","Parent=gene85","Dbxref=GeneID",111113958,"Genbank","Name=XM_022452253.1","gbkey=mRNA","gene=LOC111113958","model_evidence=Supporting evidence includes similarity to"," 31 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 24 samples with support for all annotated introns","product=homeobox protein Hox-A5-like","transcript_id=XM_022452253.1","","",""
"72","XM_022452346.1","sp","Q9UBV8","PEF1_HUMAN",50,166,82,1,182,676,115,280,2e-50,179,"NC_035780.1","Gnomon","mRNA",409477,415627,".","+",".","ID=rna38;Parent=gene28;Dbxref=GeneID:111114053,Genbank:XM_022452346.1;Name=XM_022452346.1;gbkey=mRNA;gene=LOC111114053;model_evidence=Supporting evidence includes similarity to: 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 19 samples with support for all annotated introns;product=peflin-like;transcript_id=XM_022452346.1","NC_035780.1",571100,571200,"DMR",58,155474,"ID=rna38","Parent=gene28","Dbxref=GeneID",111114053,"Genbank","Name=XM_022452346.1","gbkey=mRNA","gene=LOC111114053","model_evidence=Supporting evidence includes similarity to"," 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 19 samples with support for all annotated introns","product=peflin-like","transcript_id=XM_022452346.1","","",""
"73","XM_022452489.1","sp","Q80TY5","VP13B_MOUSE",30.5,4216,2473,104,101,12049,2,3993,0,1585,"NC_035780.1","Gnomon","mRNA",544088,573497,".","+",".","ID=rna48;Parent=gene35;Dbxref=GeneID:111114201,Genbank:XM_022452489.1;Name=XM_022452489.1;Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS: inserted 2 bases in 2 codons;exception=unclassified transcription discrepancy;gbkey=mRNA;gene=LOC111114201;model_evidence=Supporting evidence includes similarity to: 4 Proteins%2C and 99%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns;product=vacuolar protein sorting-associated protein 13B-like;transcript_id=XM_022452489.1","NC_035780.1",573700,573800,"DMR",52,204,"ID=rna48","Parent=gene35","Dbxref=GeneID",111114201,"Genbank","Name=XM_022452489.1","Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS"," inserted 2 bases in 2 codons","exception=unclassified transcription discrepancy","gbkey=mRNA","gene=LOC111114201","model_evidence=Supporting evidence includes similarity to"," 4 Proteins%2C and 99%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns","product=vacuolar protein sorting-associated protein 13B-like","transcript_id=XM_022452489.1"
"74","XM_022452500.1","sp","P53621","COPA_HUMAN",79.05,315,66,0,2889,3833,910,1224,1e-169,546,"NC_035780.1","Gnomon","mRNA",573630,585444,".","-",".","ID=rna50;Parent=gene36;Dbxref=GeneID:111114212,Genbank:XM_022452500.1;Name=XM_022452500.1;gbkey=mRNA;gene=LOC111114212;model_evidence=Supporting evidence includes similarity to: 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=coatomer subunit alpha-like%2C transcript variant X1;transcript_id=XM_022452500.1","NC_035780.1",571100,571200,"DMR",58,-2430,"ID=rna50","Parent=gene36","Dbxref=GeneID",111114212,"Genbank","Name=XM_022452500.1","gbkey=mRNA","gene=LOC111114212","model_evidence=Supporting evidence includes similarity to"," 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns","product=coatomer subunit alpha-like%2C transcript variant X1","transcript_id=XM_022452500.1","","",""
"75","XM_022452500.1","sp","P53621","COPA_HUMAN",82.08,848,136,4,114,2654,1,833,0,1491,"NC_035780.1","Gnomon","mRNA",573630,585444,".","-",".","ID=rna50;Parent=gene36;Dbxref=GeneID:111114212,Genbank:XM_022452500.1;Name=XM_022452500.1;gbkey=mRNA;gene=LOC111114212;model_evidence=Supporting evidence includes similarity to: 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=coatomer subunit alpha-like%2C transcript variant X1;transcript_id=XM_022452500.1","NC_035780.1",571100,571200,"DMR",58,-2430,"ID=rna50","Parent=gene36","Dbxref=GeneID",111114212,"Genbank","Name=XM_022452500.1","gbkey=mRNA","gene=LOC111114212","model_evidence=Supporting evidence includes similarity to"," 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns","product=coatomer subunit alpha-like%2C transcript variant X1","transcript_id=XM_022452500.1","","",""
"76","XM_022452506.1","sp","P53621","COPA_HUMAN",83.05,838,136,3,114,2624,1,833,0,1499,"NC_035780.1","Gnomon","mRNA",573630,585444,".","-",".","ID=rna49;Parent=gene36;Dbxref=GeneID:111114212,Genbank:XM_022452506.1;Name=XM_022452506.1;gbkey=mRNA;gene=LOC111114212;model_evidence=Supporting evidence includes similarity to: 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=coatomer subunit alpha-like%2C transcript variant X2;transcript_id=XM_022452506.1","NC_035780.1",571100,571200,"DMR",58,-2430,"ID=rna49","Parent=gene36","Dbxref=GeneID",111114212,"Genbank","Name=XM_022452506.1","gbkey=mRNA","gene=LOC111114212","model_evidence=Supporting evidence includes similarity to"," 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns","product=coatomer subunit alpha-like%2C transcript variant X2","transcript_id=XM_022452506.1","","",""
"77","XM_022452506.1","sp","P53621","COPA_HUMAN",79.05,315,66,0,2859,3803,910,1224,9e-170,546,"NC_035780.1","Gnomon","mRNA",573630,585444,".","-",".","ID=rna49;Parent=gene36;Dbxref=GeneID:111114212,Genbank:XM_022452506.1;Name=XM_022452506.1;gbkey=mRNA;gene=LOC111114212;model_evidence=Supporting evidence includes similarity to: 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=coatomer subunit alpha-like%2C transcript variant X2;transcript_id=XM_022452506.1","NC_035780.1",571100,571200,"DMR",58,-2430,"ID=rna49","Parent=gene36","Dbxref=GeneID",111114212,"Genbank","Name=XM_022452506.1","gbkey=mRNA","gene=LOC111114212","model_evidence=Supporting evidence includes similarity to"," 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns","product=coatomer subunit alpha-like%2C transcript variant X2","transcript_id=XM_022452506.1","","",""
"78","XM_022452633.1","sp","Q2QLH0","CFTR_OTOGA",33.33,42,28,0,186,61,719,760,3.4,33.9,"NC_035780.1","Gnomon","mRNA",884611,885996,".","-",".","ID=rna103;Parent=gene55;Dbxref=GeneID:111114340,Genbank:XM_022452633.1;Name=XM_022452633.1;gbkey=mRNA;gene=LOC111114340;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 11 samples with support for all annotated introns;product=uncharacterized LOC111114340;transcript_id=XM_022452633.1","NC_035780.1",573700,573800,"DMR",52,-310811,"ID=rna103","Parent=gene55","Dbxref=GeneID",111114340,"Genbank","Name=XM_022452633.1","gbkey=mRNA","gene=LOC111114340","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 11 samples with support for all annotated introns","product=uncharacterized LOC111114340","transcript_id=XM_022452633.1","","",""
"79","XM_022452723.1","sp","Q9TT89","HXB7_BOVIN",54.89,133,52,2,741,1133,82,208,4e-28,116,"NC_035780.1","Gnomon","mRNA",1513765,1522483,".","+",".","ID=rna138;Parent=gene79;Dbxref=GeneID:111114430,Genbank:XM_022452723.1;Name=XM_022452723.1;gbkey=mRNA;gene=LOC111114430;model_evidence=Supporting evidence includes similarity to: 19 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 24 samples with support for all annotated introns;product=homeobox protein Hox-B7-like;transcript_id=XM_022452723.1","NC_035780.1",1885000,1885100,"DMR",51,362518,"ID=rna138","Parent=gene79","Dbxref=GeneID",111114430,"Genbank","Name=XM_022452723.1","gbkey=mRNA","gene=LOC111114430","model_evidence=Supporting evidence includes similarity to"," 19 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 24 samples with support for all annotated introns","product=homeobox protein Hox-B7-like","transcript_id=XM_022452723.1","","",""
