"","Genbank","V2","Uniprot","V4","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","DMRchromosome","DMRstart","DMRend","DMRstrand","V5","mRNAchromosome","Gnomon","mRNA","mRNAstart","mRNAend","V11","mRNAstrand","V13","ID","Parent","Dbxref=GeneID","V17","V18","Name","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"84","XM_022442620.1","sp","P35832","PTP99_DROME",30.23,129,82,5,704,1078,170,294,0.018,43.9,"NC_035787.1",48183400,48183500,"DMR",-72,"NC_035787.1","Gnomon","mRNA",48168936,48194830,".","-",".","ID=rna54269","Parent=gene31404","Dbxref=GeneID",111107422,"Genbank","Name=XM_022442620.1","gbkey=mRNA","gene=LOC111107422","model_evidence=Supporting evidence includes similarity to"," 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 8 samples with support for all annotated introns","product=tyrosine-protein phosphatase 99A-like%2C transcript variant X5","transcript_id=XM_022442620.1","","",""
"85","XM_022442620.1","sp","P35832","PTP99_DROME",40.45,880,477,17,1298,3901,170,1014,0,620,"NC_035787.1",48183400,48183500,"DMR",-72,"NC_035787.1","Gnomon","mRNA",48168936,48194830,".","-",".","ID=rna54269","Parent=gene31404","Dbxref=GeneID",111107422,"Genbank","Name=XM_022442620.1","gbkey=mRNA","gene=LOC111107422","model_evidence=Supporting evidence includes similarity to"," 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 8 samples with support for all annotated introns","product=tyrosine-protein phosphatase 99A-like%2C transcript variant X5","transcript_id=XM_022442620.1","","",""
"86","XM_022442620.1","sp","P35832","PTP99_DROME",29.81,104,61,5,1484,1777,131,228,1.5,37.4,"NC_035787.1",48183400,48183500,"DMR",-72,"NC_035787.1","Gnomon","mRNA",48168936,48194830,".","-",".","ID=rna54269","Parent=gene31404","Dbxref=GeneID",111107422,"Genbank","Name=XM_022442620.1","gbkey=mRNA","gene=LOC111107422","model_evidence=Supporting evidence includes similarity to"," 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 8 samples with support for all annotated introns","product=tyrosine-protein phosphatase 99A-like%2C transcript variant X5","transcript_id=XM_022442620.1","","",""
"87","XM_022442622.1","sp","P35832","PTP99_DROME",40.41,881,471,19,1298,3886,170,1014,0,615,"NC_035787.1",48183400,48183500,"DMR",-72,"NC_035787.1","Gnomon","mRNA",48168936,48194830,".","-",".","ID=rna54267","Parent=gene31404","Dbxref=GeneID",111107422,"Genbank","Name=XM_022442622.1","gbkey=mRNA","gene=LOC111107422","model_evidence=Supporting evidence includes similarity to"," 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 20 samples with support for all annotated introns","product=tyrosine-protein phosphatase 99A-like%2C transcript variant X6","transcript_id=XM_022442622.1","","",""
"88","XM_022442622.1","sp","P35832","PTP99_DROME",30.23,129,82,5,704,1078,170,294,0.019,43.5,"NC_035787.1",48183400,48183500,"DMR",-72,"NC_035787.1","Gnomon","mRNA",48168936,48194830,".","-",".","ID=rna54267","Parent=gene31404","Dbxref=GeneID",111107422,"Genbank","Name=XM_022442622.1","gbkey=mRNA","gene=LOC111107422","model_evidence=Supporting evidence includes similarity to"," 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 20 samples with support for all annotated introns","product=tyrosine-protein phosphatase 99A-like%2C transcript variant X6","transcript_id=XM_022442622.1","","",""
"89","XM_022442622.1","sp","P35832","PTP99_DROME",29.81,104,61,5,1484,1777,131,228,1.5,37.4,"NC_035787.1",48183400,48183500,"DMR",-72,"NC_035787.1","Gnomon","mRNA",48168936,48194830,".","-",".","ID=rna54267","Parent=gene31404","Dbxref=GeneID",111107422,"Genbank","Name=XM_022442622.1","gbkey=mRNA","gene=LOC111107422","model_evidence=Supporting evidence includes similarity to"," 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 20 samples with support for all annotated introns","product=tyrosine-protein phosphatase 99A-like%2C transcript variant X6","transcript_id=XM_022442622.1","","",""
"90","XM_022442894.1","sp","Q96N23","CFA54_HUMAN",25.98,993,562,29,7635,10550,2255,3095,2e-57,226,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151427,59195113,".","+",".","ID=rna55403","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442894.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X1","transcript_id=XM_022442894.1","","",""
"91","XM_022442894.1","sp","Q96N23","CFA54_HUMAN",35.71,308,184,6,5394,6302,1609,1907,3e-43,180,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151427,59195113,".","+",".","ID=rna55403","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442894.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X1","transcript_id=XM_022442894.1","","",""
"92","XM_022442894.1","sp","Q96N23","CFA54_HUMAN",33.99,812,472,18,2571,4982,782,1537,9e-108,392,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151427,59195113,".","+",".","ID=rna55403","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442894.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X1","transcript_id=XM_022442894.1","","",""
"93","XM_022442894.1","sp","Q96N23","CFA54_HUMAN",40.36,731,406,12,150,2330,61,765,7e-144,511,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151427,59195113,".","+",".","ID=rna55403","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442894.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X1","transcript_id=XM_022442894.1","","",""
"94","XM_022442894.1","sp","Q96N23","CFA54_HUMAN",36.36,341,197,3,6477,7457,1903,2237,6e-51,205,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151427,59195113,".","+",".","ID=rna55403","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442894.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X1","transcript_id=XM_022442894.1","","",""
"95","XM_022442895.1","sp","Q96N23","CFA54_HUMAN",40.36,731,406,12,149,2329,61,765,7e-144,511,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151428,59195113,".","+",".","ID=rna55405","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442895.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X2","transcript_id=XM_022442895.1","","",""
"96","XM_022442895.1","sp","Q96N23","CFA54_HUMAN",35.71,308,184,6,5393,6301,1609,1907,3e-43,180,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151428,59195113,".","+",".","ID=rna55405","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442895.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X2","transcript_id=XM_022442895.1","","",""
"97","XM_022442895.1","sp","Q96N23","CFA54_HUMAN",26.22,984,562,28,7634,10522,2255,3095,3e-59,232,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151428,59195113,".","+",".","ID=rna55405","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442895.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X2","transcript_id=XM_022442895.1","","",""
"98","XM_022442895.1","sp","Q96N23","CFA54_HUMAN",33.99,812,472,18,2570,4981,782,1537,9e-108,392,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151428,59195113,".","+",".","ID=rna55405","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442895.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X2","transcript_id=XM_022442895.1","","",""
"99","XM_022442895.1","sp","Q96N23","CFA54_HUMAN",36.36,341,197,3,6476,7456,1903,2237,6e-51,205,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151428,59195113,".","+",".","ID=rna55405","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442895.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X2","transcript_id=XM_022442895.1","","",""
"100","XM_022442896.1","sp","Q96N23","CFA54_HUMAN",35.71,308,184,6,5393,6301,1609,1907,3e-43,180,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151428,59195113,".","+",".","ID=rna55404","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442896.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X3","transcript_id=XM_022442896.1","","",""
"101","XM_022442896.1","sp","Q96N23","CFA54_HUMAN",36.36,341,197,3,6476,7456,1903,2237,6e-51,205,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151428,59195113,".","+",".","ID=rna55404","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442896.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X3","transcript_id=XM_022442896.1","","",""
"102","XM_022442896.1","sp","Q96N23","CFA54_HUMAN",26.17,982,563,29,7634,10516,2255,3095,1e-57,227,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151428,59195113,".","+",".","ID=rna55404","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442896.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X3","transcript_id=XM_022442896.1","","",""
"103","XM_022442896.1","sp","Q96N23","CFA54_HUMAN",40.36,731,406,12,149,2329,61,765,8e-144,511,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151428,59195113,".","+",".","ID=rna55404","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442896.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X3","transcript_id=XM_022442896.1","","",""
"104","XM_022442896.1","sp","Q96N23","CFA54_HUMAN",33.99,812,472,18,2570,4981,782,1537,1e-107,392,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151428,59195113,".","+",".","ID=rna55404","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442896.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X3","transcript_id=XM_022442896.1","","",""
"105","XM_022442897.1","sp","Q96N23","CFA54_HUMAN",36.2,1594,887,34,149,4891,61,1537,0,879,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151428,59195113,".","+",".","ID=rna55407","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442897.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X4","transcript_id=XM_022442897.1","","",""
"106","XM_022442897.1","sp","Q96N23","CFA54_HUMAN",25.98,993,562,29,7544,10459,2255,3095,2e-57,226,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151428,59195113,".","+",".","ID=rna55407","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442897.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X4","transcript_id=XM_022442897.1","","",""
"107","XM_022442897.1","sp","Q96N23","CFA54_HUMAN",35.71,308,184,6,5303,6211,1609,1907,3e-43,179,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151428,59195113,".","+",".","ID=rna55407","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442897.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X4","transcript_id=XM_022442897.1","","",""
"108","XM_022442897.1","sp","Q96N23","CFA54_HUMAN",36.36,341,197,3,6386,7366,1903,2237,7e-51,205,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151428,59195113,".","+",".","ID=rna55407","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442897.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X4","transcript_id=XM_022442897.1","","",""
"109","XM_022442898.1","sp","Q96N23","CFA54_HUMAN",25.98,993,562,29,7526,10441,2255,3095,2e-57,227,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151428,59195113,".","+",".","ID=rna55406","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442898.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X5","transcript_id=XM_022442898.1","","",""
"110","XM_022442898.1","sp","Q96N23","CFA54_HUMAN",36.36,341,197,3,6368,7348,1903,2237,6e-51,205,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151428,59195113,".","+",".","ID=rna55406","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442898.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X5","transcript_id=XM_022442898.1","","",""
"111","XM_022442898.1","sp","Q96N23","CFA54_HUMAN",40.36,731,406,12,149,2329,61,765,7e-144,511,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151428,59195113,".","+",".","ID=rna55406","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442898.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X5","transcript_id=XM_022442898.1","","",""
"112","XM_022442898.1","sp","Q96N23","CFA54_HUMAN",32.68,1221,714,28,2570,6193,782,1907,6e-155,547,"NC_035787.1",59175600,59175700,"DMR",55,"NC_035787.1","Gnomon","mRNA",59151428,59195113,".","+",".","ID=rna55406","Parent=gene32090","Dbxref=GeneID",111107620,"Genbank","Name=XM_022442898.1","gbkey=mRNA","gene=LOC111107620","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=cilia- and flagella-associated protein 54-like%2C transcript variant X5","transcript_id=XM_022442898.1","","",""
"113","XM_022443873.1","sp","Q7Z6Z7","HUWE1_HUMAN",52.59,2356,917,39,117,6881,5,2261,0,2241,"NC_035787.1",48392300,48392400,"DMR",-50,"NC_035787.1","Gnomon","mRNA",48329451,48401732,".","+",".","ID=rna54286","Parent=gene31416","Dbxref=GeneID",111108202,"Genbank","Name=XM_022443873.1","gbkey=mRNA","gene=LOC111108202","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 15 samples with support for all annotated introns","product=E3 ubiquitin-protein ligase HUWE1-like%2C transcript variant X1","transcript_id=XM_022443873.1","","",""
"114","XM_022443873.1","sp","Q7Z6Z7","HUWE1_HUMAN",76.04,530,119,3,11742,13319,3849,4374,0,859,"NC_035787.1",48392300,48392400,"DMR",-50,"NC_035787.1","Gnomon","mRNA",48329451,48401732,".","+",".","ID=rna54286","Parent=gene31416","Dbxref=GeneID",111108202,"Genbank","Name=XM_022443873.1","gbkey=mRNA","gene=LOC111108202","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 15 samples with support for all annotated introns","product=E3 ubiquitin-protein ligase HUWE1-like%2C transcript variant X1","transcript_id=XM_022443873.1","","",""
"115","XM_022443873.1","sp","Q7Z6Z7","HUWE1_HUMAN",51.46,171,75,3,10938,11426,3578,3748,2e-35,154,"NC_035787.1",48392300,48392400,"DMR",-50,"NC_035787.1","Gnomon","mRNA",48329451,48401732,".","+",".","ID=rna54286","Parent=gene31416","Dbxref=GeneID",111108202,"Genbank","Name=XM_022443873.1","gbkey=mRNA","gene=LOC111108202","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 15 samples with support for all annotated introns","product=E3 ubiquitin-protein ligase HUWE1-like%2C transcript variant X1","transcript_id=XM_022443873.1","","",""
"116","XM_022443873.1","sp","Q7Z6Z7","HUWE1_HUMAN",49.5,501,202,13,9207,10619,2964,3443,3e-90,335,"NC_035787.1",48392300,48392400,"DMR",-50,"NC_035787.1","Gnomon","mRNA",48329451,48401732,".","+",".","ID=rna54286","Parent=gene31416","Dbxref=GeneID",111108202,"Genbank","Name=XM_022443873.1","gbkey=mRNA","gene=LOC111108202","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 15 samples with support for all annotated introns","product=E3 ubiquitin-protein ligase HUWE1-like%2C transcript variant X1","transcript_id=XM_022443873.1","","",""
"117","XM_022443873.1","sp","Q7Z6Z7","HUWE1_HUMAN",43.68,174,76,5,7701,8177,2511,2677,2e-29,134,"NC_035787.1",48392300,48392400,"DMR",-50,"NC_035787.1","Gnomon","mRNA",48329451,48401732,".","+",".","ID=rna54286","Parent=gene31416","Dbxref=GeneID",111108202,"Genbank","Name=XM_022443873.1","gbkey=mRNA","gene=LOC111108202","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 15 samples with support for all annotated introns","product=E3 ubiquitin-protein ligase HUWE1-like%2C transcript variant X1","transcript_id=XM_022443873.1","","",""
"118","XM_022443874.1","sp","Q7Z6Z7","HUWE1_HUMAN",52.59,2356,917,39,117,6881,5,2261,0,2242,"NC_035787.1",48392300,48392400,"DMR",-50,"NC_035787.1","Gnomon","mRNA",48329451,48401732,".","+",".","ID=rna54289","Parent=gene31416","Dbxref=GeneID",111108202,"Genbank","Name=XM_022443874.1","gbkey=mRNA","gene=LOC111108202","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 15 samples with support for all annotated introns","product=E3 ubiquitin-protein ligase HUWE1-like%2C transcript variant X2","transcript_id=XM_022443874.1","","",""
"119","XM_022443874.1","sp","Q7Z6Z7","HUWE1_HUMAN",51.46,171,75,3,10935,11423,3578,3748,2e-35,154,"NC_035787.1",48392300,48392400,"DMR",-50,"NC_035787.1","Gnomon","mRNA",48329451,48401732,".","+",".","ID=rna54289","Parent=gene31416","Dbxref=GeneID",111108202,"Genbank","Name=XM_022443874.1","gbkey=mRNA","gene=LOC111108202","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 15 samples with support for all annotated introns","product=E3 ubiquitin-protein ligase HUWE1-like%2C transcript variant X2","transcript_id=XM_022443874.1","","",""
"120","XM_022443874.1","sp","Q7Z6Z7","HUWE1_HUMAN",76.04,530,119,3,11739,13316,3849,4374,0,859,"NC_035787.1",48392300,48392400,"DMR",-50,"NC_035787.1","Gnomon","mRNA",48329451,48401732,".","+",".","ID=rna54289","Parent=gene31416","Dbxref=GeneID",111108202,"Genbank","Name=XM_022443874.1","gbkey=mRNA","gene=LOC111108202","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 15 samples with support for all annotated introns","product=E3 ubiquitin-protein ligase HUWE1-like%2C transcript variant X2","transcript_id=XM_022443874.1","","",""
"121","XM_022443874.1","sp","Q7Z6Z7","HUWE1_HUMAN",43.68,174,76,5,7698,8174,2511,2677,2e-29,134,"NC_035787.1",48392300,48392400,"DMR",-50,"NC_035787.1","Gnomon","mRNA",48329451,48401732,".","+",".","ID=rna54289","Parent=gene31416","Dbxref=GeneID",111108202,"Genbank","Name=XM_022443874.1","gbkey=mRNA","gene=LOC111108202","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 15 samples with support for all annotated introns","product=E3 ubiquitin-protein ligase HUWE1-like%2C transcript variant X2","transcript_id=XM_022443874.1","","",""
"122","XM_022443874.1","sp","Q7Z6Z7","HUWE1_HUMAN",49.5,501,202,13,9204,10616,2964,3443,3e-90,336,"NC_035787.1",48392300,48392400,"DMR",-50,"NC_035787.1","Gnomon","mRNA",48329451,48401732,".","+",".","ID=rna54289","Parent=gene31416","Dbxref=GeneID",111108202,"Genbank","Name=XM_022443874.1","gbkey=mRNA","gene=LOC111108202","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 15 samples with support for all annotated introns","product=E3 ubiquitin-protein ligase HUWE1-like%2C transcript variant X2","transcript_id=XM_022443874.1","","",""
"123","XM_022443876.1","sp","Q7Z6Z7","HUWE1_HUMAN",51.46,171,75,3,10935,11423,3578,3748,2e-35,154,"NC_035787.1",48392300,48392400,"DMR",-50,"NC_035787.1","Gnomon","mRNA",48329451,48401732,".","+",".","ID=rna54288","Parent=gene31416","Dbxref=GeneID",111108202,"Genbank","Name=XM_022443876.1","gbkey=mRNA","gene=LOC111108202","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 15 samples with support for all annotated introns","product=E3 ubiquitin-protein ligase HUWE1-like%2C transcript variant X3","transcript_id=XM_022443876.1","","",""
"124","XM_022443876.1","sp","Q7Z6Z7","HUWE1_HUMAN",49.5,501,202,13,9204,10616,2964,3443,3e-90,335,"NC_035787.1",48392300,48392400,"DMR",-50,"NC_035787.1","Gnomon","mRNA",48329451,48401732,".","+",".","ID=rna54288","Parent=gene31416","Dbxref=GeneID",111108202,"Genbank","Name=XM_022443876.1","gbkey=mRNA","gene=LOC111108202","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 15 samples with support for all annotated introns","product=E3 ubiquitin-protein ligase HUWE1-like%2C transcript variant X3","transcript_id=XM_022443876.1","","",""
"125","XM_022443876.1","sp","Q7Z6Z7","HUWE1_HUMAN",52.59,2356,917,39,117,6881,5,2261,0,2241,"NC_035787.1",48392300,48392400,"DMR",-50,"NC_035787.1","Gnomon","mRNA",48329451,48401732,".","+",".","ID=rna54288","Parent=gene31416","Dbxref=GeneID",111108202,"Genbank","Name=XM_022443876.1","gbkey=mRNA","gene=LOC111108202","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 15 samples with support for all annotated introns","product=E3 ubiquitin-protein ligase HUWE1-like%2C transcript variant X3","transcript_id=XM_022443876.1","","",""
"126","XM_022443876.1","sp","Q7Z6Z7","HUWE1_HUMAN",43.68,174,76,5,7698,8174,2511,2677,2e-29,134,"NC_035787.1",48392300,48392400,"DMR",-50,"NC_035787.1","Gnomon","mRNA",48329451,48401732,".","+",".","ID=rna54288","Parent=gene31416","Dbxref=GeneID",111108202,"Genbank","Name=XM_022443876.1","gbkey=mRNA","gene=LOC111108202","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 15 samples with support for all annotated introns","product=E3 ubiquitin-protein ligase HUWE1-like%2C transcript variant X3","transcript_id=XM_022443876.1","","",""
"127","XM_022443876.1","sp","Q7Z6Z7","HUWE1_HUMAN",76.04,530,119,3,11739,13316,3849,4374,0,859,"NC_035787.1",48392300,48392400,"DMR",-50,"NC_035787.1","Gnomon","mRNA",48329451,48401732,".","+",".","ID=rna54288","Parent=gene31416","Dbxref=GeneID",111108202,"Genbank","Name=XM_022443876.1","gbkey=mRNA","gene=LOC111108202","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 15 samples with support for all annotated introns","product=E3 ubiquitin-protein ligase HUWE1-like%2C transcript variant X3","transcript_id=XM_022443876.1","","",""
