chr,DMLB.start,DMLB.end,strand,pvalue,qvalue,meth.diff,Uniprot,Genbank,evalue,Product,GO
NC_035785.1,32297500,32297500,+,4.88581e-23,6.235104e-21,-28.94963,Q8K4S1,XM_022431782.1,4e-110,1-phosphatidylinositol 4,GO:0000139; GO:0000187; GO:0004435; GO:0004629; GO:0005085; GO:0005737; GO:0005829; GO:0005886; GO:0007186; GO:0007200; GO:0007265; GO:0008277; GO:0016042; GO:0017016; GO:0019899; GO:0032835; GO:0032959; GO:0045859; GO:0046578; GO:0046872; GO:0048015; GO:0051209
NC_035786.1,41035064,41035064,+,2.958078e-20,2.654719e-18,26.91297,P08941,XM_022437048.1,0,proto-oncogene tyrosine-protein kinase ROS-like,GO:0001558; GO:0002066; GO:0004713; GO:0004714; GO:0005524; GO:0005887; GO:0006468; GO:0007169; GO:0008283; GO:0030154; GO:0032006; GO:0043235; GO:0070372
NC_035781.1,19685336,19685336,+,1.19833e-20,1.131183e-18,43.78003,P42566,XM_022458534.1,6e-11,serine/arginine repetitive matrix protein 2-like,GO:0001921; GO:0005509; GO:0005829; GO:0005886; GO:0005905; GO:0006895; GO:0009925; GO:0016020; GO:0016050; GO:0016235; GO:0016324; GO:0017124; GO:0019065; GO:0030122; GO:0031593; GO:0031901; GO:0032456; GO:0038024; GO:0042059; GO:0042127; GO:0042802; GO:0043231; GO:0045296; GO:0046718; GO:0048268; GO:0060170; GO:0061024; GO:0098794; GO:0098884; GO:0098978
NC_035785.1,41558858,41558858,+,4.589034e-13,1.592279e-11,17.9498,Q9H8V3,XM_022433141.1,0,protein ECT2-like,GO:0000281; GO:0000902; GO:0005089; GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005911; GO:0005923; GO:0007186; GO:0015031; GO:0030496; GO:0032147; GO:0032154; GO:0032467; GO:0035023; GO:0035556; GO:0042307; GO:0042803; GO:0043065; GO:0043123; GO:0043547; GO:0045666; GO:0045859; GO:0051056; GO:0051260; GO:0051988; GO:0070301; GO:0070830; GO:0071277; GO:0071479; GO:0072686; GO:0090630; GO:0097149; GO:2000431
NC_035781.1,21143967,21143967,+,3.073025e-14,1.258726e-12,-29.1549,Q9V9J3,XM_022459227.1,0,tyrosine-protein kinase Src42A-like,GO:0004713; GO:0004715; GO:0005524; GO:0005737; GO:0005829; GO:0005886; GO:0005912; GO:0006468; GO:0007391; GO:0007395; GO:0007411; GO:0007424; GO:0007435; GO:0007476; GO:0007623; GO:0016477; GO:0018108; GO:0034332; GO:0036335; GO:0042059; GO:0042742; GO:0043277; GO:0045742; GO:0045874; GO:0045886; GO:0046529; GO:0048167; GO:0048749; GO:0051017; GO:0070374; GO:0090136
NC_035787.1,49220180,49220180,+,1.431136e-13,5.349134e-12,-29.50081,P35220,XM_022489152.1,3e-31,uncharacterized LOC111137616,GO:0003383; GO:0003779; GO:0005198; GO:0005737; GO:0005886; GO:0005912; GO:0005913; GO:0005914; GO:0005915; GO:0007016; GO:0007155; GO:0007163; GO:0008092; GO:0015629; GO:0016342; GO:0034332; GO:0034333; GO:0042802; GO:0045296; GO:0046664; GO:0051015; GO:0060323
NC_035784.1,18045624,18045624,+,7.051959e-08,9.770081e-07,-10.22035,Q9BVG8,XM_022486910.1,5e-171,kinesin-like protein KIFC3,GO:0003777; GO:0005524; GO:0005794; GO:0005813; GO:0005871; GO:0005874; GO:0005915; GO:0007018; GO:0007030; GO:0007601; GO:0008017; GO:0008569; GO:0016887; GO:0030659; GO:0045218; GO:0070062; GO:0090136
NC_035788.1,77428982,77428982,+,0.0001394238,0.000838271,25.91511,Q8IUK5,XM_022454188.1,3e-74,plexin domain-containing protein 2-like,GO:0001525; GO:0005576; GO:0005615; GO:0005737; GO:0005886; GO:0005923; GO:0016021; GO:0021510; GO:0030425; GO:0043025; GO:0043235
NC_035782.1,57058249,57058249,+,1.055872e-42,9.510109e-40,42.30899,Q14517,XM_022468766.1,0,protocadherin Fat 1-like,GO:0003382; GO:0005509; GO:0005634; GO:0005886; GO:0005887; GO:0005911; GO:0005925; GO:0007015; GO:0007155; GO:0007156; GO:0007163; GO:0007267; GO:0009653; GO:0016324; GO:0016477; GO:0030027; GO:0030175; GO:0045197; GO:0048471; GO:0048593; GO:0070062; GO:0098609
NC_035781.1,19952972,19952972,+,1.918902e-22,2.275416e-20,-35.69925,Q4G0X9,XM_022459291.1,0,coiled-coil domain-containing protein 40-like,GO:0001947; GO:0003341; GO:0003351; GO:0003356; GO:0005737; GO:0005929; GO:0005930; GO:0030317; GO:0030324; GO:0031514; GO:0035469; GO:0036159; GO:0044458; GO:0060271; GO:0060287; GO:0061512; GO:0070286; GO:0071907; GO:0071910
NC_035786.1,34368875,34368875,+,6.144228e-57,1.761984e-53,-51.9849,E9Q8T7,XM_022436904.1,0,dynein heavy chain 1,GO:0003341; GO:0003351; GO:0003777; GO:0005524; GO:0005874; GO:0005930; GO:0007018; GO:0007288; GO:0008569; GO:0030286; GO:0030317; GO:0036126; GO:0036156; GO:0036159; GO:0045503; GO:0045505; GO:0051959; GO:0060294
NC_035784.1,35839713,35839713,+,2.404082e-06,2.348915e-05,14.46228,A0A0G2K344,XM_022485713.1,0,phosphatidylinositol 4,GO:0001525; GO:0004674; GO:0005524; GO:0005737; GO:0005829; GO:0005886; GO:0005942; GO:0005943; GO:0006909; GO:0010629; GO:0014065; GO:0014870; GO:0016020; GO:0016303; GO:0016477; GO:0035005; GO:0036092; GO:0043201; GO:0046854; GO:0046934; GO:0048015; GO:0048661; GO:0052812; GO:0071548; GO:1903544
NC_035787.1,61110963,61110963,+,2.248002e-18,1.606114e-16,37.45517,Q8BL66,XM_022444173.1,5e-58,early endosome antigen 1-like,GO:0003676; GO:0005545; GO:0005768; GO:0005769; GO:0005829; GO:0005969; GO:0006897; GO:0006906; GO:0019897; GO:0030742; GO:0031410; GO:0031901; GO:0039694; GO:0042803; GO:0044308; GO:0046872; GO:0055037
NC_035781.1,58563177,58563177,+,0.007197283,0.02251761,24.09008,P08037,XM_022460284.1,5e-68,beta-1,GO:0000138; GO:0002064; GO:0002526; GO:0003831; GO:0003945; GO:0004461; GO:0005615; GO:0005794; GO:0005989; GO:0006012; GO:0006487; GO:0007155; GO:0007339; GO:0007341; GO:0008285; GO:0009312; GO:0009897; GO:0016021; GO:0016323; GO:0030057; GO:0030145; GO:0030175; GO:0030198; GO:0031526; GO:0032580; GO:0035250; GO:0042125; GO:0042803; GO:0043014; GO:0043065; GO:0045136; GO:0048487; GO:0050900; GO:0051260; GO:0060046; GO:0060054; GO:0060055
NC_035781.1,54261838,54261838,+,6.197065e-10,1.28393e-08,-24.64009,Q7Z4W1,XM_022461530.1,5e-71,L-xylulose reductase-like,GO:0004090; GO:0005634; GO:0005881; GO:0005886; GO:0005902; GO:0005903; GO:0005997; GO:0006006; GO:0006739; GO:0016655; GO:0019640; GO:0042732; GO:0042802; GO:0044105; GO:0050038; GO:0051289; GO:0055114; GO:0070062
NC_035780.1,27750765,27750765,+,2.890654e-37,1.608209e-34,32.49385,Q5XI42,XM_022484644.1,5e-166,aldehyde dehydrogenase family 3 member B1-like,GO:0004028; GO:0004030; GO:0005886; GO:0006068; GO:0006081
NC_035781.1,29696210,29696210,+,4.612466e-12,1.373393e-10,20.52931,Q9NR19,XM_022459297.1,0,acetyl-coenzyme A synthetase,GO:0003987; GO:0005524; GO:0005654; GO:0005737; GO:0005759; GO:0005829; GO:0006069; GO:0008610; GO:0016208; GO:0019413; GO:0019427; GO:0019542; GO:0043231
NC_035786.1,38651249,38651249,+,5.684506e-60,2.181892e-56,-50.85677,Q91V92,XM_022437468.1,0,ATP-citrate synthase-like,GO:0003878; GO:0005524; GO:0005654; GO:0005739; GO:0005829; GO:0005886; GO:0006084; GO:0006085; GO:0006101; GO:0006107; GO:0006633; GO:0008610; GO:0009346; GO:0046872; GO:0048037
NC_035785.1,617479,617479,+,8.418898e-13,2.808443e-11,27.20048,P52899,XM_022431025.1,2e-172,pyruvate dehydrogenase E1 component subunit alpha,GO:0004739; GO:0005739; GO:0005759; GO:0006086; GO:0006096
NC_035784.1,12530036,12530036,+,2.273064e-25,3.730972e-23,26.42169,P05153,XM_022484022.1,0,phosphoenolpyruvate carboxykinase,GO:0003729; GO:0004550; GO:0004613; GO:0005525; GO:0005739; GO:0005829; GO:0006089; GO:0006090; GO:0006094; GO:0006111; GO:0006522; GO:0006531; GO:0006536; GO:0006541; GO:0006544; GO:0006560; GO:0006735; GO:0007296; GO:0007568; GO:0007586; GO:0008343; GO:0008906; GO:0009069; GO:0009792; GO:0015743; GO:0016042; GO:0018991; GO:0019157; GO:0019543; GO:0019563; GO:0019953; GO:0030145; GO:0030703; GO:0032496; GO:0032869; GO:0033993; GO:0042149; GO:0042594; GO:0043565; GO:0043950; GO:0045722; GO:0045912; GO:0045913; GO:0046015; GO:0046327; GO:0046898; GO:0047134; GO:0048562; GO:0048589; GO:0050692; GO:0050892; GO:0051379; GO:0051384; GO:0051591; GO:0060259; GO:0070365; GO:0070741; GO:0071300; GO:0071320; GO:0071332; GO:0071333; GO:0071347; GO:0071356; GO:0071361; GO:0071374; GO:0071377; GO:0071456; GO:0071549; GO:0072071; GO:1904640
NC_035787.1,51512500,51512500,+,7.781587e-21,7.522012e-19,25.06284,Q3SZP5,XM_022442108.1,7e-173,peroxisomal acyl-coenzyme A oxidase 1-like,GO:0000038; GO:0003997; GO:0005504; GO:0005777; GO:0006091; GO:0006629; GO:0006693; GO:0016401; GO:0019395; GO:0033540; GO:0050660; GO:0055088; GO:0071949
NC_035783.1,5429295,5429295,+,4.369739e-13,1.522212e-11,24.68559,Q5R7H0,XM_022477792.1,0,probable 2-oxoglutarate dehydrogenase E1 component DHKTD1,GO:0004591; GO:0005739; GO:0006091; GO:0006096; GO:0006099; GO:0030976
NC_035781.1,1697384,1697384,+,0.001353017,0.005752243,13.0369,Q99798,XM_022463109.1,0,aconitate hydratase,GO:0001889; GO:0003994; GO:0005506; GO:0005739; GO:0005759; GO:0005829; GO:0006091; GO:0006099; GO:0006101; GO:0006102; GO:0035900; GO:0051538; GO:0051539
NC_035781.1,3183089,3183089,+,1.470576e-09,2.839962e-08,-15.24575,Q60HE2,XM_022458143.1,0,2-oxoglutarate dehydrogenase,GO:0004591; GO:0005634; GO:0005739; GO:0005759; GO:0006091; GO:0006096; GO:0006099; GO:0006103; GO:0006104; GO:0030976; GO:0031966; GO:0045252; GO:0046872; GO:0106077
NC_035788.1,55960890,55960890,+,8.199091e-07,8.935848e-06,-27.81146,Q9NRG9,XM_022448323.1,6e-155,aladin-like,GO:0000922; GO:0001578; GO:0005634; GO:0005635; GO:0005643; GO:0005654; GO:0005813; GO:0005829; GO:0006110; GO:0006406; GO:0006409; GO:0006913; GO:0007612; GO:0009566; GO:0016020; GO:0016032; GO:0016925; GO:0019083; GO:0031965; GO:0043657; GO:0046822; GO:0060964; GO:0072686; GO:0075733; GO:0090307; GO:1900034
NC_035783.1,51425309,51425309,+,0.07416169,0.1323412,-3.134186,Q9D8S4,XM_022479252.1,1e-77,oligoribonuclease,GO:0000175; GO:0003676; GO:0005634; GO:0005730; GO:0005739; GO:0005758; GO:0005759; GO:0005925; GO:0006139; GO:0008408
NC_035781.1,20181838,20181838,+,0.0004618629,0.002331796,20.51108,Q9SF85,XM_022463942.1,2e-136,adenosine kinase 1-like,GO:0004001; GO:0005507; GO:0005524; GO:0005634; GO:0005829; GO:0005886; GO:0006169; GO:0009506; GO:0009507; GO:0016020; GO:0016032; GO:0044209; GO:0046686; GO:0048046; GO:0080094
NC_035788.1,85591727,85591727,+,3.596035e-17,2.201659e-15,34.1264,P30803,XM_022447364.1,0,adenylate cyclase type 5-like,GO:0004016; GO:0005524; GO:0005886; GO:0005887; GO:0005929; GO:0006171; GO:0007189; GO:0007204; GO:0016021; GO:0046872; GO:0061178; GO:1904322
NC_035783.1,15334895,15334895,+,7.066954e-16,3.614468e-14,21.53396,P55264,XM_022473039.1,3e-101,adenosine kinase-like,GO:0004001; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006166; GO:0006175; GO:0010613; GO:0042102; GO:0044209; GO:0044342; GO:0046085; GO:0046872
NC_035782.1,16643014,16643014,+,0.001227174,0.005302991,-11.57796,Q95YJ5,XM_022468281.1,0,thioredoxin domain-containing protein 3 homolog,GO:0004550; GO:0005623; GO:0006183; GO:0006228; GO:0006241; GO:0007275; GO:0007283; GO:0030154; GO:0045454
NC_035786.1,24621610,24621610,+,1.638267e-09,3.136853e-08,-16.47236,Q9D0N7,XM_022435382.1,2e-156,chromatin assembly factor 1 subunit B-like,GO:0000790; GO:0005634; GO:0005654; GO:0006260; GO:0006281; GO:0006334; GO:0006335; GO:0007049; GO:0031497; GO:0032991; GO:0033186; GO:0042393
NC_035784.1,30457812,30457812,+,0.0001396162,0.0008392663,-24.76054,Q641W4,XM_022484437.1,0,replication factor C subunit 2-like,GO:0003689; GO:0005524; GO:0005634; GO:0005663; GO:0006261; GO:0019899; GO:0031390; GO:0043142; GO:1900264
NC_035781.1,52611551,52611551,+,3.913809e-31,1.242313e-28,32.62049,O70157,XM_022458983.1,1e-17,uncharacterized LOC111119126,GO:0003697; GO:0003916; GO:0003917; GO:0005634; GO:0005654; GO:0005694; GO:0005759; GO:0006265; GO:0008270; GO:0016605; GO:0032042; GO:0051304
NC_035781.1,216977,216977,+,0.0001660899,0.0009748473,15.21127,Q6GMB0,XM_022464236.1,4e-102,sister chromatid cohesion protein DCC1-like,GO:0000785; GO:0003677; GO:0005634; GO:0006260; GO:0006275; GO:0031390; GO:0034088
NC_035787.1,47003851,47003851,+,3.415599e-13,1.209079e-11,46.65192,Q96I25,XM_022442577.1,4e-68,splicing factor 45-like,GO:0000380; GO:0000381; GO:0000398; GO:0003723; GO:0005654; GO:0005681; GO:0006281
NC_035785.1,33083896,33083896,+,3.344485e-15,1.571999e-13,33.72391,Q3SYV9,XM_022433072.1,3e-57,poly(ADP-ribose) glycohydrolase ARH3-like,GO:0000287; GO:0004553; GO:0004649; GO:0005634; GO:0005739; GO:0005759; GO:0006281; GO:0061463; GO:0090734; GO:0140290; GO:0140292
NC_035781.1,54481707,54481707,+,1.541367e-11,4.225895e-10,-18.45688,Q10002,XM_022460759.1,4e-94,DNA-(apurinic or apyrimidinic site) lyase-like,GO:0003677; GO:0003906; GO:0005634; GO:0005739; GO:0006284; GO:0008081; GO:0008270; GO:0008311; GO:0017005; GO:0140078
NC_035782.1,2103641,2103641,+,2.229529e-14,9.342395e-13,-40.96633,O15527,XM_022465630.1,6e-103,N-glycosylase/DNA lyase-like,GO:0002526; GO:0003684; GO:0004519; GO:0005634; GO:0005654; GO:0005739; GO:0006284; GO:0006285; GO:0006355; GO:0006974; GO:0006979; GO:0007568; GO:0008017; GO:0008534; GO:0009314; GO:0009416; GO:0016363; GO:0016607; GO:0032355; GO:0032357; GO:0032991; GO:0033683; GO:0034039; GO:0043066; GO:0045007; GO:0045008; GO:0045471; GO:0051593; GO:0071276; GO:0140078; GO:1901291
NC_035784.1,75770662,75770662,+,7.112966e-20,6.104633e-18,-34.13514,Q13619,XM_022485284.1,0,cullin-4A-like,GO:0000082; GO:0000715; GO:0000717; GO:0001701; GO:0005654; GO:0006283; GO:0006293; GO:0006294; GO:0006295; GO:0006296; GO:0006511; GO:0006974; GO:0008284; GO:0016032; GO:0016567; GO:0019005; GO:0030097; GO:0030853; GO:0031146; GO:0031461; GO:0031464; GO:0031625; GO:0033683; GO:0035019; GO:0042254; GO:0042769; GO:0043161; GO:0043687; GO:0048511; GO:0051246; GO:0070911; GO:0080008; GO:0097193; GO:1900087; GO:2000001; GO:2000819
NC_035781.1,4870257,4870257,+,2.115987e-11,5.676544e-10,-10.38393,Q99P21,XM_022457586.1,3e-141,adenine DNA glycosylase-like,GO:0000701; GO:0005634; GO:0005654; GO:0005739; GO:0006281; GO:0006284; GO:0006298; GO:0006979; GO:0019104; GO:0032357; GO:0032407; GO:0034039; GO:0035485; GO:0046872; GO:0051539
NC_035780.1,8773963,8773963,+,0.01026963,0.02979515,-4.752409,Q13426,XM_022480035.1,7e-18,DNA repair protein XRCC4-like,GO:0005634; GO:0005654; GO:0005829; GO:0005958; GO:0006302; GO:0006303; GO:0006310; GO:0008022; GO:0010165; GO:0032807; GO:0042802; GO:0051103; GO:0051351; GO:0070419; GO:0071285; GO:0075713
NC_035784.1,19617053,19617053,+,0.01330311,0.03651905,-6.159284,Q99N34,XM_022489699.1,2e-63,DNA fragmentation factor subunit beta-like,GO:0000790; GO:0004536; GO:0005634; GO:0005737; GO:0006309; GO:0007420
NC_035785.1,33550623,33550623,+,0.005988814,0.0194389,-12.08211,A6QPC8,XM_022430723.1,4e-51,EP300-interacting inhibitor of differentiation 3-like,GO:0000781; GO:0005634; GO:0005737; GO:0006281; GO:0006310; GO:0030915; GO:2001022
NC_035781.1,16043720,16043720,+,2.506732e-05,0.0001878772,14.57595,Q6AXK4,XM_022458027.1,3e-51,BRISC and BRCA1-A complex member 1-like,GO:0005634; GO:0005737; GO:0006302; GO:0006325; GO:0007049; GO:0010212; GO:0045739; GO:0051301; GO:0070531; GO:0070536; GO:0070552; GO:0072425
NC_035780.1,62764182,62764182,+,1.63751e-32,5.903801e-30,-36.14028,Q9UIG0,XM_022468953.1,1e-147,tyrosine-protein kinase BAZ1B-like,GO:0000793; GO:0004713; GO:0004715; GO:0005524; GO:0005654; GO:0005721; GO:0006333; GO:0006338; GO:0006357; GO:0006974; GO:0008270; GO:0016572; GO:0016604; GO:0035173; GO:0042393; GO:0045815
NC_035786.1,41447583,41447583,+,8.28269e-06,7.049368e-05,11.07034,Q24572,XM_022438188.1,0,histone-binding protein RBBP4,GO:0000122; GO:0000281; GO:0005634; GO:0005667; GO:0005700; GO:0006281; GO:0006334; GO:0006342; GO:0006351; GO:0007307; GO:0007346; GO:0007379; GO:0008284; GO:0010468; GO:0016571; GO:0016573; GO:0016581; GO:0016584; GO:0016589; GO:0031497; GO:0031523; GO:0033186; GO:0035035; GO:0035097; GO:0035098; GO:0042393; GO:0042766; GO:0042803; GO:0042826; GO:0044212; GO:0051567; GO:0070734; GO:0070822
NC_035782.1,38442935,38442935,+,0.002128635,0.00837471,-10.29412,Q7YQM3,XM_022468435.1,2e-49,transcriptional regulator ATRX-like,GO:0003677; GO:0003682; GO:0004386; GO:0005524; GO:0006281; GO:0006334; GO:0006336; GO:0006338; GO:0010571; GO:0016605; GO:0030330; GO:0031297; GO:0031933; GO:0032206; GO:0042393; GO:0045944; GO:0046872; GO:0072711; GO:1900112; GO:1901581
NC_035782.1,68385486,68385486,+,2.824102e-15,1.339518e-13,22.00125,P70351,XM_022466627.1,0,histone-lysine N-methyltransferase EZH2-like,GO:0000122; GO:0000781; GO:0003682; GO:0003714; GO:0005634; GO:0005654; GO:0006338; GO:0006343; GO:0006348; GO:0035098; GO:0036333; GO:0045944; GO:0046976; GO:0097421; GO:0098532; GO:1904772
NC_035786.1,42553069,42553069,+,5.749018e-28,1.277226e-25,38.49911,Q5ZKH3,XM_022437946.1,0,polycomb protein EED-like,GO:0000122; GO:0000978; GO:0001739; GO:0003682; GO:0005829; GO:0006342; GO:0006349; GO:0035098; GO:0042802; GO:0045120; GO:0046976; GO:0061087; GO:1990830; GO:2000011
NC_035782.1,47867728,47867728,+,2.706479e-22,3.133367e-20,30.01466,Q6GLI9,XM_022468558.1,6e-34,DNA-directed RNA polymerase I subunit RPA49-like,GO:0003677; GO:0003899; GO:0005730; GO:0006351
NC_035788.1,43311839,43311839,+,0.6260172,0.5355138,-1.5173,Q6P8G1,XM_022447773.1,4e-176,interleukin enhancer-binding factor 2-like,GO:0003677; GO:0003725; GO:0005524; GO:0005634; GO:0005730; GO:0006351; GO:0006955; GO:0016740; GO:0045893
NC_035781.1,48219731,48219731,+,1.558429e-08,2.475413e-07,19.69335,A9LMC0,XM_022461422.1,4e-91,zinc finger protein ubi-d4-like,GO:0000123; GO:0000790; GO:0004402; GO:0005634; GO:0006338; GO:0006355; GO:0007399; GO:0008270; GO:0016514; GO:0042393; GO:0045892; GO:0045944; GO:0048644; GO:0055008; GO:0071565
NC_035785.1,14986474,14986474,+,2.825449e-09,5.186103e-08,26.10645,Q91WJ8,XM_022432315.1,4e-18,far upstream element-binding protein 3-like,GO:0001228; GO:0003723; GO:0005634; GO:0005654; GO:0006357; GO:0010628; GO:0045202; GO:0048103; GO:0048588; GO:0071425; GO:1900149; GO:1990837
NC_035782.1,67167652,67167652,+,0.7257224,0.5821107,-1.732926,Q1RMP0,XM_022466261.1,6e-43,DNA-directed RNA polymerase I subunit RPA12-like,GO:0003676; GO:0003899; GO:0005736; GO:0006363; GO:0006379; GO:0008270
NC_035781.1,11814681,11814681,+,0.003821726,0.01351945,11.88195,Q9JJT0,XM_022462267.1,9e-175,RNA 3'-terminal phosphate cyclase-like protein,GO:0000447; GO:0000480; GO:0004521; GO:0005730; GO:0006364
NC_035780.1,22637894,22637894,+,1.14133951766667e-12,3.7286009874288e-11,21.9071916044296,Q13895,XM_022431276.1,9e-167,bystin-like,GO:0000462; GO:0001829; GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0006364; GO:0007155; GO:0007565; GO:0008283; GO:0016020; GO:0030515; GO:0030688; GO:0042254; GO:0043231; GO:0045177; GO:1904749
NC_035781.1,38981048,38981048,+,0.1175283,0.1831375,9.504195,O95905,XM_022461674.1,6e-146,protein ecdysoneless homolog,GO:0003713; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006110; GO:0006366; GO:0006397; GO:0008283; GO:0008380; GO:0035035; GO:0045944; GO:2000045
NC_035780.1,19770657,19770657,+,6.342399e-12,1.842748e-10,27.30769,P55199,XM_022448639.1,5e-20,RNA polymerase II elongation factor ELL-like,GO:0001701; GO:0005654; GO:0006366; GO:0006368; GO:0008023; GO:0010923; GO:0015030; GO:0016607; GO:0019902; GO:0032786; GO:0032968; GO:0035327; GO:0035363; GO:0042795; GO:0042796; GO:0045945
NC_035781.1,31042367,31042367,+,0.008960427,0.02675884,3.467488,Q5E9Z7,XM_022457675.1,5e-38,DNA-directed RNA polymerase III subunit RPC4-like,GO:0003677; GO:0003899; GO:0005666; GO:0006383; GO:0032728; GO:0045087; GO:0045089; GO:0051607
NC_035788.1,56264622,56264622,+,2.83499e-52,5.482967e-49,47.15281,Q5ZJL4,XM_022447422.1,0,polyribonucleotide 5'-hydroxyl-kinase Clp1-like,GO:0000214; GO:0005524; GO:0005634; GO:0005829; GO:0005849; GO:0006378; GO:0006388; GO:0021695; GO:0030423; GO:0035087; GO:0046404; GO:0051733; GO:0051736
NC_035784.1,1874905,1874905,+,2.426484e-13,8.778777e-12,26.95559,P52815,XM_022489278.1,3e-20,39S ribosomal protein L12,GO:0003723; GO:0003735; GO:0005739; GO:0005743; GO:0005762; GO:0006390; GO:0045893; GO:0070125; GO:0070126
NC_035782.1,53966590,53966590,+,1.09481e-26,2.109224e-24,32.7306,Q9NRR4,XM_022467452.1,0,ribonuclease 3-like,GO:0001530; GO:0003723; GO:0003725; GO:0004525; GO:0005634; GO:0005654; GO:0005730; GO:0006396; GO:0010586; GO:0010628; GO:0014069; GO:0016075; GO:0017151; GO:0030422; GO:0031053; GO:0031054; GO:0042254; GO:0042803; GO:0045589; GO:0046332; GO:0046872; GO:0050727; GO:0050829; GO:0050830; GO:0070412; GO:0070877; GO:0070878; GO:2000628
NC_035780.1,34934771,34934771,+,7.664833e-06,6.579746e-05,14.03596,Q08170,XM_022432620.1,4e-13,probable splicing factor,GO:0000375; GO:0000381; GO:0000398; GO:0003723; GO:0005634; GO:0005654; GO:0006397; GO:0006405; GO:0006406; GO:0008380; GO:0016607; GO:0031124; GO:0032868; GO:0045292; GO:0048025; GO:1990825
NC_035784.1,25498138,25498138,+,7.530395e-13,2.529637e-11,-20.53588,Q08J23,XM_022485212.1,0,tRNA (cytosine(34)-C(5))-methyltransferase-like,GO:0000049; GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005819; GO:0006400; GO:0007286; GO:0008168; GO:0016428; GO:0030488; GO:0033313; GO:0033391; GO:0048820; GO:0051301
NC_035788.1,80521353,80521353,+,3.535991e-27,7.125976e-25,61.96746,Q9D1J3,XM_022453489.1,6e-17,SAP domain-containing ribonucleoprotein-like,GO:0000122; GO:0000346; GO:0000978; GO:0001227; GO:0003723; GO:0005634; GO:0006406; GO:0006417; GO:0008022; GO:0016607; GO:0036464; GO:0050733
NC_035785.1,13828579,13828579,+,6.75194e-08,9.387786e-07,-13.99474,Q92621,XM_022431040.1,5e-119,nuclear pore complex protein Nup205-like,GO:0005635; GO:0005643; GO:0006110; GO:0006406; GO:0006409; GO:0006913; GO:0006999; GO:0016020; GO:0016032; GO:0016925; GO:0017056; GO:0019083; GO:0031965; GO:0034399; GO:0043657; GO:0044611; GO:0051292; GO:0060964; GO:0075733; GO:1900034
NC_035787.1,9120454,9120454,+,0.178666,0.2437962,4.232014,Q02543,XM_022440951.1,4e-88,60S ribosomal protein L18a-like,GO:0000184; GO:0002181; GO:0003723; GO:0003735; GO:0005829; GO:0006412; GO:0006413; GO:0006614; GO:0014069; GO:0016020; GO:0019083; GO:0022625; GO:0042788; GO:0097327
NC_035782.1,62555972,62555972,+,0.006122468,0.0197929,-10.32644,Q5R6Z6,XM_022471398.1,0,CCR4-NOT transcription complex subunit 9-like,GO:0000932; GO:0005154; GO:0005634; GO:0006402; GO:0006417; GO:0019221; GO:0019900; GO:0019904; GO:0030014; GO:0031047; GO:0033138; GO:0033147; GO:0042803; GO:0045742; GO:2000327
NC_035784.1,41660079,41660079,+,0.01518002,0.04044931,-9.72973,O77622,XM_022487501.1,0,T-complex protein 1 subunit zeta-like,GO:0005524; GO:0005829; GO:0005832; GO:0005874; GO:0006457; GO:0032212; GO:0050821; GO:0051082; GO:0071987; GO:1904851
NC_035788.1,74809001,74809001,+,8.490552e-05,0.0005464494,24.36065,O02649,XM_022449726.1,0,60 kDa heat shock protein,GO:0005524; GO:0005739; GO:0005743; GO:0005759; GO:0006458; GO:0006626; GO:0007005; GO:0034605; GO:0042026; GO:0051082
NC_035782.1,59621009,59621009,+,0.2708359,0.3207797,3.176494,P18101,XM_022464403.1,3e-84,ubiquitin-60S ribosomal protein L40,GO:0002181; GO:0003735; GO:0005634; GO:0005829; GO:0006412; GO:0006464; GO:0006511; GO:0016567; GO:0022625; GO:0031386
NC_035780.1,56979663,56979663,+,4.232116e-06,3.883882e-05,24.13273,O15075,XM_022443875.1,3e-21,neuronal migration protein doublecortin-like,GO:0001764; GO:0004672; GO:0004674; GO:0005524; GO:0005887; GO:0006468; GO:0007399; GO:0007417; GO:0009615; GO:0014069; GO:0016197; GO:0018105; GO:0021952; GO:0030900; GO:0035556; GO:0048675; GO:0048813; GO:1900181
NC_035784.1,67975066,67975066,+,0.002842795,0.01062057,19.4636,Q27968,XM_022483724.1,8e-148,dnaJ homolog subfamily C member 3-like,GO:0004860; GO:0005783; GO:0005829; GO:0006469; GO:0006986; GO:0019901; GO:0034975; GO:0036494; GO:0051082; GO:0051087; GO:0051787; GO:0070417; GO:1903912
NC_035786.1,5277107,5277107,+,7.545562e-05,0.0004930323,-15.82143,O60678,XM_022435810.1,0,protein arginine N-methyltransferase 3-like,GO:0003676; GO:0005634; GO:0005737; GO:0005829; GO:0006355; GO:0006479; GO:0008168; GO:0008469; GO:0016274; GO:0019919; GO:0031397; GO:0034969; GO:0035242; GO:0043022; GO:0046872
